,0,1,2,3,4
183,Tchati-Bali,Arrondissement,...,"32,063",
184,Vele,Arrondissement,...,"41,693",
185,Wina,Arrondissement,...,"30,702",
186,Yagoua,Arrondissement,...,"91,979",
187,Mayo-Kani,Department,"230,779","404,646",
188,Guidiguis,Arrondissement,...,"43,632",
189,Kaélé,Arrondissement,...,"105,504",
190,Mindif,Arrondissement,...,"50,530",
191,Moulvoudaye,Arrondissement,...,"82,368",
192,Moutourwa,Arrondissement,...,"40,197",
193,Porhi,Arrondissement,...,"38,809",
194,Taibong,Arrondissement,...,"43,606",
195,Mayo-Louti,Department,"226,731","391,326",
196,Figuil,Arrondissement,...,"67,997",
197,Guider,Arrondissement,...,"223,503",
198,Mayo-Oulo,Arrondissement,...,"99,826",
199,Mayo-Rey,Department,"164,424","375,201",
200,Madingring,Arrondissement,...,"57,347",
201,Rey-Bouba,Arrondissement,...,"116,192",
202,Tcholliré,Arrondissement,...,"47,296",
203,Touboro,Arrondissement,...,"154,366",
204,Mayo-Sava,Department,"213,708","348,890",
205,Kolofata,Arrondissement,...,"77,857",
206,Mora,Arrondissement,...,"179,777",
207,Tokombéré,Arrondissement,...,"91,256",
208,Mayo-Tsanaga,Department,"391,985","699,971",
209,Bourrha,Arrondissement,...,"88,585",
210,Hina,Arrondissement,...,"43,755",
211,Koza,Arrondissement,...,"81,076",
212,Mayo-Moskota,Arrondissement,...,"73,716",
213,Mogode,Arrondissement,...,"112,905",
214,Mokolo,Arrondissement,...,"242,274",
215,Soulédé-Roua,Arrondissement,...,"57,660",
216,Mbam-et-Inoubou,Department,"148,775","188,927",
217,Bafia,Arrondissement,...,"55,506",
218,Bokito,Arrondissement,...,"40,228",
219,Deuk,Arrondissement,...,"11,485",
220,Kiiki,Arrondissement,...,"8,519",
221,Kon-Yambetta,Arrondissement,...,"8,692",
222,Makénéné,Arrondissement,...,"16,564",
223,Ndikiniméki,Arrondissement,...,"17,462",
224,Nitoukou,Arrondissement,...,"4,831",
225,Ombessa,Arrondissement,...,"25,640",
226,Mbam-et-Kim,Department,"55,959","105,511",
227,Mbangassina,Arrondissement,...,"41,180",
228,Ngambè-Tikar,Arrondissement,...,"12,489",
229,Ngoro,Arrondissement,...,"13,892",
230,Ntui,Arrondissement,...,"25,618",
231,Yoko,Arrondissement,...,"12,332",
232,Mbéré,Department,"126,921","171,670",
233,Dir,Arrondissement,...,"34,284",
234,Djohong,Arrondissement,...,"24,445",
235,Meiganga,Arrondissement,...,"88,745",
236,Ngaoui,Arrondissement,...,"24,196",
237,Méfou-et-Afamba,Department,"87,307","126,025",
238,Afanloum,Arrondissement,...,"1,787",
239,Assamba,Arrondissement,...,"4,801",
240,Awaé,Arrondissement,...,"15,888",
241,Edzendouan,Arrondissement,...,"4,436",
242,Esse,Arrondissement,...,"16,822",
243,Mfou,Arrondissement,...,"37,209",
244,Nkolafamba,Arrondissement,...,"14,494",
245,Soa,Arrondissement,...,"30,588",
246,Méfou-et-Akono,Department,"55,446","59,017",
247,Akono,Arrondissement,...,"8,511",
248,Bikok,Arrondissement,...,"16,278",
249,Mbankomo,Arrondissement,...,"20,305",
250,Ngoumou,Arrondissement,...,"13,923",
251,Meme,Department,"202,518","326,734",
252,Konye,Arrondissement,...,"44,711",
253,Kumba I,City Arrondissement,...,"68,095",
254,Kumba II,City Arrondissement,...,"62,878",
255,Kumba III,City Arrondissement,...,"35,358",
256,Mbonge,Arrondissement,...,"115,692",
257,Menchum,Department,"105,664","161,998",
258,Fungom,Arrondissement,...,"58,666",
259,Furu-Awa,Arrondissement,...,"13,997",
260,Menchum Valley,Arrondissement,...,"50,235",
261,Wum,Arrondissement,...,"39,100",
262,Menoua,Department,"251,616","285,764",
263,Dschang,Arrondissement,...,"101,385",
264,Fokoué,Arrondissement,...,"9,576",
265,Fongo-Tongo,Arrondissement,...,"18,822",
266,Nkong-Ni,Arrondissement,...,"53,367",
267,Penka-Michel,Arrondissement,...,"65,135",
268,Santchou,Arrondissement,...,"37,479",
269,Mezam,Department,"313,043","524,127",
270,Bafut,Arrondissement,...,"57,930",
271,Bali,Arrondissement,...,"30,375",
272,Bamenda I,City Arrondissement,...,"28,359",
273,Bamenda II,City Arrondissement,...,"184,277",
274,Bamenda III,City Arrondissement,...,"110,253",
275,Santa,Arrondissement,...,"64,391",
276,Tubah,Arrondissement,...,"48,542",
277,Mfoundi,Department,"703,588","1,881,876",
278,Yaoundé I,City Arrondissement,...,"281,586",
279,Yaoundé II,City Arrondissement,...,"238,927",
280,Yaoundé III,City Arrondissement,...,"252,501",
281,Yaoundé IV,City Arrondissement,...,"477,350",
282,Yaoundé V,City Arrondissement,...,"265,087",
283,Yaoundé VI,City Arrondissement,...,"268,428",
284,Yaoundé VII,City Arrondissement,...,"97,997",
285,Mifi,Department,"202,193","301,456",
286,Bafoussam I,City Arrondissement,...,"98,339",
287,Bafoussam II,City Arrondissement,...,"121,282",
288,Bafoussam III,City Arrondissement,...,"81,835",
289,Momo,Department,"143,466","138,693",
290,Batibo,Arrondissement,...,"44,619",
291,Mbengwi,Arrondissement,...,"31,591",
292,Ngie,Arrondissement,...,"17,697",
293,Njikwa,Arrondissement,...,"16,634",
294,Widikum-Menka,Arrondissement,...,"28,152",
295,Moungo,Department,"340,287","379,241",
296,Abo Fiko ( Bonaléa ),Arrondissement,...,"25,018",
297,Baré-Bakem,Arrondissement,...,"16,485",
298,Dibombari,Arrondissement,...,"17,141",
299,Loum,Arrondissement,...,"39,707",
300,Manjo,Arrondissement,...,"34,230",
301,Mbanga,Arrondissement,...,"35,415",
302,Melong,Arrondissement,...,"54,279",
303,Mombo,Arrondissement,...,"5,530",
304,Njombe-Penja,Arrondissement,...,"31,792",
305,Nkongsamba I,City Arrondissement,...,"52,434",
306,Nkongsamba II,City Arrondissement,...,"37,154",
307,Nkongsamba III,City Arrondissement,...,"15,795",
308,Nlonako,Arrondissement,...,"14,261",
309,Mvila,Department,"116,996","179,429",
310,Biwong-Bane,Arrondissement,...,"13,151",
311,Biwong-Bulu,Arrondissement,...,"12,867",
312,Ebolowa I,City Arrondissement,...,"40,538",
313,Ebolowa II,City Arrondissement,...,"55,957",
314,Efoulan,Arrondissement,...,"8,905",
315,Mengong,Arrondissement,...,"17,222",
316,Mvangan,Arrondissement,...,"16,114",
317,Ngoulemakong,Arrondissement,...,"14,675",
318,Ndé,Department,"83,588","94,849",
319,Bangangté,Arrondissement,...,"63,595",
320,Bassamba,Arrondissement,...,"2,814",
321,Bazou,Arrondissement,...,"14,912",
322,Tonga,Arrondissement,...,"13,528",
323,Ndian,Department,"87,435","122,579",
324,Bamusso,Arrondissement,...,"19,230",
325,Dikome-Balue,Arrondissement,...,"13,364",
326,Ekondo-Titi,Arrondissement,...,"56,503",
327,Idabato,Arrondissement,...,"3,482",
328,Isanguele,Arrondissement,...,"3,476",
