Indicator (italics indicate national -level data),Unit ,Source,"Year of source consulted(* indicates year of creation of institution, if available)","Maputo, Mozambique","Ibadan, Nigeria","Kano, Nigeria","Johannesburg, South Africa","Cape Town, South Africa","Durban, South Africa","Al-Khartum (Khartoum), Sudan","Lusaka, Zambia ","Harare, Zimbabwe","Cotonou, Benin","Douala, Cameroon","Yaoundé, Cameroon","Abidjan, Cote d'Ivoire ","Addis Ababa, Ethiopia","Accra, Ghana","Kumasi, Ghana","Conakry, Guinea","Nairobi, Kenya","Lagos, Nigeria","Dakar, Senegal","Kampala, Uganda","Luanda, Angola","Ouagadougou, Burkina Faso","Kinshasa, Democratic Republic of the Congo","Lubumbashi, Democratic Republic of the Congo","Mbuji-Mayi, Democratic Republic of the Congo","Brazzaville, Congo","Blantyre, Malawi","Lilongwe, Malawi","Abuja, Nigeria","Dar es Salaam, Tanzania"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual city growth rate 1995-2010,% of growth from previous year,UNDESA 2012 World Urbanization Prospects: The 2011 Revision,2012,1.37,2.39,2.23,2.38,2.52,2.33,2.53,4.3,1.3,2.82,4.56,5.45,3.29,2.06,3.7,5.04,3.3,4.08,3.93,3.66,3.72,5.87,7.02,4.18,4.06,4.47,4.19,,4.75,8.93,4.77
Share of city in national population ,% of national population ,UNDESA 2010 World Urbanization Prospects: The 2009 Revision.,2010,6.9,1.7,2.1,7.3,6.7,5.7,11.9,10.9,12.8,21.8,42.9,8.9,19,3.5,9.5,7.5,15.9,8.5,6.6,22.2,4.7,24.4,11.3,12.7,2.3,2.2,35.1,5.7,5.4,1.2,7.4
"Projection, Share of city in national population in 2025",% of national population ,UNDESA 2010 World Urbanization Prospects: The 2009 Revision.,2010,9.8,1.6,2.2,7.6,7.1,6,13.07,10.8,14.8,21.2,11.8,10.07,23.3,4.3,10.4,8.2,20.3,10.5,6.8,24.1,6.09,29.08,17,15.7,2.8,2.7,33.7,7.2,7.3,1.4,8.7
City density ,(Population/km2) ,Demographia 2011 Demographia World Urban Areas.,2011,7000,7900,15600,2900,5000,3500,6400,8200,2800,4400,11000,9100,12900,13100,3900,5200,10500,7700,10700,14000,3300,9990,5600,15300,9300,29689,10540,8500,1479,9100,6600
Solid waste collected (public and private collection),% of city population ,"Andersen, J. 2009 Meanings and perceptions of the built environment in peri-urban areas of Maputo, Mozambique, African Perspectives 2009, The African Inner City.",2009,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solid waste collected (public and private collection),% of city population ,"Adenji, G. and B. Ogundiji 2009 Climate Adaptation in Nigerian Cities: Regularising Informal and Illegal Settlements in Ibadan, World Bank 2009 Urban Symposium, June 28-30, Marseille, France.",2009,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solid waste collected (public and private collection),% of city population ,"Iliyas, M.H. 2000 Strengthening the Capacity of Water Utilities to Deliver Water and sanitation Services, Environmental Health and Hygiene to Low Income Communities, Case Study for Kano (town), Nigeria, Context and Practices, Water Utilities Project No.5, MIT.",2000,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solid waste collected (public and private collection),% of city population ,"UN-Habitat 2008 The State of African Cities: a Framework for Addressing urban challenges in Africa, Nairobi: UN-Habitat.",2008,,,,56.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solid waste collected (public and private collection),% of city population ,"City of Cape Town 2009 Water Services Development Plan for City of Cape Town 2010/2011 - 2012/2014, Final Report.",2009,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Solid waste collected (public and private collection),% of city population ,Durban Metro Water Services 1999 Draft Water Services Development Plan: Volume 1: Status Quo Report.,1999,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,
Solid waste collected (public and private collection),% of city population , UNEP 2007 Sudan: Post-conflict environmental assessment.,2007,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,
Solid waste collected (public and private collection),% of city population ,UN-Habitat 2007 Zambia: Lusaka Urban Profile,2007,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,
Solid waste collected (public and private collection),% of city population ,"The World Bank 2010 Republique du Benin: Analyse environnementale Pays, Rapport No: 58190-BJ",2010,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,
Solid waste collected (public and private collection),% of city population ,"UN-Habitat 2007 Profile Urbain de Yaounde, Nairobi:Kenya",2007,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,
Solid waste collected (public and private collection),% of city population ,Republique de Cote d'Ivoire 2009 Strategie de Relance  du Developpement et de Reduction de la Pauvrete,2009,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,
Solid waste collected (public and private collection),% of city population ,UN-Habitat 2008 Ethiopia: Addis Ababa Urban Profile. ,2008,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,,
Solid waste collected (public and private collection),% of city population ,"Adank, M. et al. 2011 Towards integrated urban water management in the Greater Accra Metropolitan Area: current status and strategic directions for the future, SWITCH/RCN Ghana.",2011,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,
Solid waste collected (public and private collection),% of city population ,"Bah, A.K. et al. 2007 Approvisionnement en eau des menages de Conakry, Afrique Contemporaine, 221, 225/245.",2007,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,
Solid waste collected (public and private collection),% of city population ,UNEP and UN-Habitat 2007 City of Nairobi Environment Outlook,2007,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,
Solid waste collected (public and private collection),% of city population ,"The World Bank 2006  Project Appraisal Document to the Federal Republic of Nigeria for the Lagos Metropolitan Development and Governance Project, Report No.36433-NG",2006,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,
Solid waste collected (public and private collection),% of city population ,UN-Habitat 2008 Senegal: Profil Urbain de Dakar. ,2008,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,
Solid waste collected (public and private collection),% of city population ,UN-Habitat 2007 Situation Analysis of Informal Settlements in Kampala: Kivulu (Kagugube) and Kinawataka (Mbuyu 1) Parishes,2007,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,
Solid waste collected (public and private collection),% of city population ,"Development Workshop Angola 2011 Poverty and Environmental Vulnerability in Angola’s growing slums: comparative analysis of Luanda, Huambo and Cachiungo, Final Report.",2011,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,
Solid waste collected (public and private collection),% of city population ,"Rossier, C. and A. Soura 2011 Poverty and Health at the Periphery of Ouagadougou, Conference Paper, New Approaches to Urban Health and Mortality during the Health Transition, Sevilla, Spain, 14/17 December 2011.",2011,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,
Solid waste collected (public and private collection),% of city population ,"UNDP 2004 Reducing disaster risk: a challenge for development, New York: UNDP.",2004,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,
Solid waste collected (public and private collection),% of city population ,UN-Habitat 2011 Malawi: Blantyre Urban Profile,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,
Solid waste collected (public and private collection),% of city population ,UN-Habitat 2011 Malawi: Lilongwe Urban Profile,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,
Solid waste collected (public and private collection),% of city population ,Occupation of the housing stock according to National 2002 Census. UN-Habitat 2009 Tanzania: Dar Es Salaam City Profile.,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
Solid waste collected (public and private collection),% of solid waste produced,"Goncalo Ferrao, D.A. 2006 An examinanation of solid waste collection and disposal in Maputo City, Mozambique, MPHil Dissertation, University Of Cape Town.",2010,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solid waste collected (public and private collection),% of solid waste produced,"Africa's urban transition: implications for water management. Waste Water, Drainage and Solid Waste Management",2009,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solid waste collected (public and private collection),% of solid waste produced,"Nabegu, A.B. 2010 An Analysis of Municipal Solid Waste in Kano Metropolis, Nigeria, Journal of Human Ecology, 31(2), 111-119.",2010,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solid waste collected (public and private collection),% of solid waste produced,"Republic of South Africa 2007 Assessment of the Status of Waste service delivery and capacity at the local government level, August 2007, Department of Environmental Affairs and Tourism.",2007,,,,94,100,,,,,,,,,,,,,,,,,,,,,,,,,,
Solid waste collected (public and private collection),% of solid waste produced,"Abou-Elseou, N.  2008 ""Waste management"" in Tolba, M.K. and N.W. Saab (eds.) Arab Environment Future Challenges, Report of the Arab Forum for Environment and Development, 111-126",2008,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,
Solid waste collected (public and private collection),% of solid waste produced,"UN-Habitat 2010 Solid Waste Management n the World's Cities: Water and Sanitation in the World's cities 2010, London,Washington: Earthscan.",2010,,,,,,,,45,,,,,,,,,,60,,,,,,,,,,,,,
Solid waste collected (public and private collection),% of solid waste produced,"ILO 2007  Start your waste recycling business, Technical Handouts.",2002,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,
Solid waste collected (public and private collection),% of solid waste produced,"World Bank 2010 Republique du Benin: Analyse environnementale Pays, Rapport No: 58190-BJ",2010,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,
Solid waste collected (public and private collection),% of solid waste produced,"World Bank 2012 Africa's urban transition: implications for water management. Waste Water, Drainage and Solid Waste Management",2011,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,
Solid waste collected (public and private collection),% of solid waste produced,"Parrot, L. et al. 2009 Municipal solid waste management in Africa: Strategies and livelihoods in Yaounde, Cameroon, Waste Management, 29, 986-995.",2009,,,,,,,,,,,,43,,,,,,,,30,,,,,,,,,,,65
Solid waste collected (public and private collection),% of solid waste produced,Republique de Cote d'Ivoire 2009 Strategie de Relance  du Developpement et de Reduction de la Pauvrete,2009,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,
Solid waste collected (public and private collection),% of solid waste produced,"UN-Habitat 2011 Green Hills, Blue Cities. An ecosystems approach to water resources management for African cities",2011,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,
Solid waste collected (public and private collection),% of solid waste produced,"Boadi, K.O. and M. Kuitunen 2004 Municipal solid waste management in the Accra Metropolitan Area, Ghana, The Environmentalist, 23, 211-218.",2004,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,
Solid waste collected (public and private collection),% of solid waste produced,"The World Bank 2006 Ghana. Country Environmental Analysis, Report No:36985-GH",2006,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,
Solid waste collected (public and private collection),% of solid waste produced,"Farvacque-Vitkovic, C. Conakry solid Waste management An Update,  http://siteresources.worldbank.org/INTUSWM/Resources/463617-1144078790304/Farvacque.pdf",2005,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,
Solid waste collected (public and private collection),% of solid waste produced,"World Bank 2009 Lagos Metropolitan Development & Governance Project (LMDGP) Solid Waste Management Component, Environmental & Social Impact Assessment ESIA, Final Report.",2009,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,
Solid waste collected (public and private collection),% of solid waste produced,"Republic of Uganda 2010 Value for Money Audit Report on Solid Waste Management in Kampala, Office of the Auditor General, March 2010.",2010,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,
Solid waste collected (public and private collection),% of solid waste produced,"PNUD 2009 Province de Kinshasa, Profil Resume, Pauvrete et Conditions de Vie des Menages, Mars 2009.",2009,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,
Solid waste collected (public and private collection),% of solid waste produced,"Republique Democratique du Congo 2005 Monographie de la Province du Katanga, Unite de Pilotage du processus DSRP, Ministere du Plan, Mars 2005",2005,,,,,,,,,,,,,,,,,,,,,,,,,12,0,,,,,
Solid waste collected (public and private collection),% of solid waste produced,"CICRED 2006 Brazzaville, Pauvrete et Problemes Environnementaux, Rapport Final.",2011,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,
Solid waste collected (public and private collection),% of solid waste produced,"Hove, T. 2011  Waste management in developping countries: a case sstudy of Blantyre city, Malawi, EWB-UK National Research and Education Conference 2011 'Our Global Future' 4th March 2011.  ",2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,
Solid waste collected (public and private collection),% of solid waste produced,"for FCT for hourseholds (Includes public and private collection, government bin or shed and disposal within compound)  National Bureau of Statistics 2009 Social Statistics of Nigeria, http://www.nigerianstat.gov.ng/ext/latest_release/ssd09.pdf",2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,
Solid waste disposed of in controlled sites (landfill),% of solid waste produced,"Goncalo Ferrao, D.A. 2006 An examinanation of solid waste collection and disposal in Maputo City, Mozambique, MPHil Dissertation, University Of Cape Town.",2010,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solid waste disposed of in controlled sites (landfill),% of solid waste produced,"Republic of South Africa 2007 Assessment of the Status of Waste service delivery and capacity at the local government level, August 2007, Department of Environmental Affairs and Tourism.",2007,,,,94,100,,,,,,,,,,,,,,,,,,,,,,,,,,
Solid waste disposed of in controlled sites (landfill),% of solid waste produced,eThekwini Municipality 2004 Integrated Waste management plan for Ethekwini municipality.,2010,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
Solid waste disposed of in controlled sites (landfill),% of solid waste produced,"Abou-Elseou, N.  2008 ""Waste management"" in Tolba, M.K. and N.W. Saab (eds.) Arab Environment Future Challenges, Report of the Arab Forum for Environment and Development, 111-126",2008,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,
Solid waste disposed of in controlled sites (landfill),% of solid waste produced,"UN-Habitat 2010 Solid Waste Management n the World's Cities: Water and Sanitation in the World's cities 2010, London,Washington: Earthscan.",2010,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,
Solid waste disposed of in controlled sites (landfill),% of solid waste produced,"World Bank 2010 Republique du Benin: Analyse environnementale Pays, Rapport No: 58190-BJ",2010,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,
Solid waste disposed of in controlled sites (landfill),% of solid waste produced,"World Bank 2006 Ghana. Country Environmental Analysis, Report No:36985-GH",2006,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,
Solid waste disposed of in controlled sites (landfill),% of solid waste produced,"Evaluation des besoins et costing pour l'atteinte des objectifs du millenaire pour le developpement, 2006, http://www.gn.undp.org/Docs/OMD/Diagn-Ass-OMD-Guin%C3%A9e2006.pdf",2006,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,
Solid waste disposed of in controlled sites (landfill),% of solid waste produced,"UN-Habitat 2010 Solid Waste Management n the World's Cities: Water and Sanitation in the World's cities 2010, London,Washington: Earthscan.",2010,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,
Solid waste disposed of in controlled sites (landfill),% of solid waste produced,"World Bank 2009 Lagos Metropolitan Development & Governance Project (LMDGP) Solid Waste Management Component, Environmental & Social Impact Assessment ESIA, Final Report.",2009,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,
Solid waste disposed of in controlled sites (landfill),% of solid waste produced,"Republic of Uganda 2010 Value for Money Audit Report on Solid Waste Management in Kampala, Office of the Auditor General, March 2010.",2010,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,
Solid waste disposed of in controlled sites (landfill),% of solid waste produced,"Africa's urban transition: implications for water management. Waste Water, Drainage and Solid Waste Management",2009,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,
Solid waste disposed of in controlled sites (landfill),% of solid waste produced,United Republic of Tanzania 2004 Dar es Salaam City Profile,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Unbundling of bulk water production and distribution,1= Yes; 0= No,"Banerjee et al, 2008 Ebbing Water, Surging Deficits: Urban Water Supply in Sub-Saharan Africa; Cross-country annex",2008,1,0,0,0,0,0,0,0,,1,,,0,0,0,0,,0,0,1,0,,0,0,0,0,,0,0,0,1
Separation of business lines water wastewater,1= Yes; 0= No,"Banerjee et al, 2008 Ebbing Water, Surging Deficits: Urban Water Supply in Sub-Saharan Africa; Cross-country annex",2008,0,1,1,1,1,1,1,0,,0,,,1,1,0,0,,0,1,0,0,,0,0,0,0,,1,1,1,0
Private de facto water and wastewater management ,1= Yes; 0= No,"Banerjee et al, 2008 Ebbing Water, Surging Deficits: Urban Water Supply in Sub-Saharan Africa; Cross-country annex",2008,0,1,1,1,1,1,1,0,,0,,,1,1,1,1,,0,1,1,0,,,0,0,0,,1,1,1,1
Existence of utility performance contract with government ,1= Yes; 0= No,"World Bank data, Water Operator Partnership database",2009,1,,,,1,,1,,,,1,1,1,1,1,,1,1,,1,,,,,1,1,,1,,,
Existence of water utility targets for access to services in informal settlements,1= Yes; 0= No,"Banerjee et al, 2008 Ebbing Water, Surging Deficits: Urban Water Supply in Sub-Saharan Africa; Cross-country annex",2008,,0,,1,,,,1,,1,,,,1,1,1,0,1,,0,1,,1,,,,,1,1,,1
Existence of River Basin Autority,1= Yes; 0= No,"Banerjee et al, 2008 Ebbing Water, Surging Deficits: Urban Water Supply in Sub-Saharan Africa; Cross-country annex",2008,0,0,,,0,0,,,,0,0,0,0,,,,0,,,,,,,,,,,,,,
Existence of River Basin Autority,1= Yes; 0= No,Lake Chad Basin Commission http://lakechad.iwlearn.org/about/partners/partnerprofile.2007-02-15.9132809202 ,*1964,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Existence of River Basin Autority,1= Yes; 0= No,Orange-Senqu River Commission (ORASECOM) http://www.orasecom.org/,*2004,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Existence of River Basin Autority,1= Yes; 0= No,Nile Basin Initiative nilebasin.org ,*1999,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Existence of River Basin Autority,1= Yes; 0= No,"Zambezi River Basin Authority Website,  http://www.zaraho.org.zm/index.html",*1987,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,1,,
Existence of River Basin Autority,1= Yes; 0= No,"Awash Basin Water Resources Administration Agency (Awash Valley Agency) in GMO/GWP 2003 Integrated Flood Management: Case Study Ethiopia: Integrated Flood Management, http://www.apfm.info/pdf/case_studies/cs_ethiopia.pdf ",*1998,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Existence of River Basin Autority,1= Yes; 0= No,"Volta River Authority, http://www.vra.com/",*1961,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,
Existence of River Basin Autority,1= Yes; 0= No,"Tana and Athi Rivers Development Authority (TARDA), http://tarda.co.ke/",*1974,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Existence of River Basin Autority,1= Yes; 0= No,"Ogun-Osun River Basin Development Authority, 1976, Akindele, S.T. and A. Adebo 2004 The political economy of River Basin and Rural Development Authority in Nigeria: a retrospective case study of Owena-River Basin and Rural Development authority (ORBRDA), Journal of Human Ecology, 16(1), 55-62.",*1976,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Existence of River Basin Autority,1= Yes; 0= No,"Organisation pour la Mise en Valeur du Fleuve Senegal, http://www.omvs.org/fr/actualites/index.php",*1972,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Existence of River Basin Autority,1= Yes; 0= No,Lake Victoria Basin Commission. http://www.lvbcom.org/,*2001,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Existence of River Basin Autority,1= Yes; 0= No,"Commission Internationale du Bassin Congo-Oubangui-Sangha, CICOS, http://www.cicos.info/siteweb/index.php?id=109",*1999,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,
Existence of River Basin Autority,1= Yes; 0= No,"Autorite du Bassin du Niger, http://www.abn.ne/",*1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Existence of River Basin Autority,1= Yes; 0= No,"Wami/Ruvu Basin Water Office,  http://wamiruvubasin.com/Background.html",*2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Urban master plan,1= Yes; 0= No,"UN-Habitat 2009 Climate Change assessment for Maputo, Mozambique: A summary.",*2008,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urban master plan,1= Yes; 0= No,"Olujimi, J. 2009 Evolving a planning strategy for managing urban sprawl in Nigeria, Journal of Human Ecology, 25(3), 201-208.",*1992,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
