,,,,,"Households by size
(percentage )",,,,,Households by age of the head of household (percentage)*,,,,"Households with at least one member in age range
(percentage)",,,,,"Households with members in age ranges
(percentage)",,,,,,Average number of household members of selected ages,,,,,Basic household types (percentage of households)**,,,,,,,,,Intergenerational household types (percentage of households)***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country or area,ISO Code,Data source category,Reference date (dd/mm/yyyy),Average household size (number of members),1 member,2-3 members,4-5 members,6 or more members,Female head of household (percentage of households),Under 20 years (aged 0-19),Aged 20-64 years,Aged 60 years or over,Aged 65 years or over,Under 15 years (aged 0-14),Under 18 years (aged 0-17),Under 20 years (aged 0-19),Aged 60 years or over,Aged 65 years or over,Under 15 years AND 60 years or over,Under 15 years AND 65 years or over,Under 18 years AND 60 years or over,Under 18 years AND 65 years or over,Under 20 years AND 60 years or over,Under 20 years AND 65 years or over,Under age 15 years among all households,Under age 15 years among households with at least one member under age 15 years,Under age 20 years among all households,Under age 20 years among households with at least one member under age 20 years,Ages 20-64 years among all households,One-person,Couple only,Couple with children,Single parent with children,Single mother with children,Single father with children,Extended family,Non-relatives,Unknown,Nuclear,Multi-generation,Three generation,Skip generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Côte d’Ivoire,384,DHS,14/09/2005,5.48,11.44,22.19,24.38,41.99,18.32,0.95,89.02,15.46,9.84,72.58,75.45,78.09,20.23,13.51,15.55,10.21,16.14,10.65,16.52,10.89,2.31,3.17,2.86,3.65,2.46,11.44,3.78,23.84,4.15,2.49,1.66,45.78,10.92,0.09,31.77,24.31,16.47,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Côte d’Ivoire,384,DHS,03-02-12,5.09,12.18,24.73,25.87,37.22,17.94,1.51,87.39,18.65,10.99,73.07,76.16,78.72,22.72,14.61,16.77,10.55,17.43,10.96,17.76,11.2,2.2,3.01,2.65,3.36,2.26,12.18,4.61,25.32,5.26,3.03,2.24,41.08,11.54,0.01,35.19,23.6,16.78,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Côte d’Ivoire,384,MICS,07-01-16,4.58,17,25.12,26.08,31.8,17.51,2.01,89.06,14.2,8.54,67.62,71.03,73.38,17.26,11.1,12.4,7.81,13.17,8.31,13.61,8.59,1.95,2.86,2.36,3.19,2.08,17,4.77,27.64,6.1,4.32,1.78,37.44,7.01,0.05,38.5,19.75,13.16,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dem. Republic of the Congo,180,MICS,07-01-01,6.29,2.21,16.67,27.08,54.04,14.45,0.42,91.98,12.39,7.6,88.74,91.06,92.6,17.53,11.7,13.68,8.9,14.37,9.34,14.68,9.56,3.04,3.43,3.74,4.04,2.41,2.21,3.82,41.4,6.09,5.31,0.78,43.29,1.78,1.42,51.31,28.15,18.61,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dem. Republic of the Congo,180,DHS,05-09-07,5.45,6.73,21.47,26.8,45,20.8,0.92,90.37,14.49,8.71,81.13,84.05,85.96,18.36,11.58,12.42,7.54,13.23,8,13.72,8.35,2.6,3.2,3.12,3.62,2.2,6.73,4.66,38.34,7.84,6.65,1.18,40.35,2.03,0.06,50.84,25.24,16.02,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dem. Republic of the Congo,180,MICS,07-01-10,5.32,5.9,21.86,28.62,43.62,18.33,0.77,91.33,13.54,7.84,81.85,84.63,86.31,16.74,10.41,11.38,6.67,12.06,7.08,12.46,7.31,2.57,3.14,3.07,3.55,2.14,5.9,4.97,42.29,7.34,6.35,0.99,36.57,2.23,0.7,54.61,22.61,14.72,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dem. Republic of the Congo,180,DHS,11-10-13,5.3,7.25,21.19,27.81,43.74,24.95,1.08,89.69,16.32,9.23,82.1,84.52,86.2,19.57,12.11,13.08,7.91,13.72,8.27,14.07,8.48,2.7,3.29,3.17,3.68,1.99,7.25,4.71,36.7,10.7,9.05,1.65,38.54,2.1,0.0,52.11,24.86,18.8,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dem. Republic of the Congo,180,MICS,07-01-17,5.17,7.55,22.77,28.5,41.18,28.47,1.18,89.2,15.83,9.61,79.59,82.21,84.72,18.25,11.69,11,6.75,11.78,7.29,12.51,7.72,2.53,3.17,3.04,3.59,1.98,7.55,4.78,37.69,13.85,12,1.85,35.32,0.81,0.0,56.32,22.71,14.7,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,818,IPUMS,07-01-86,4.85,6.62,24.21,32.38,36.79,12.64,1.47,85.51,18.03,11.03,69.66,74.7,78.25,24.83,16.12,11.67,7.49,13.35,8.4,14.53,9.07,1.9,2.72,2.4,3.07,2.26,6.62,7.49,55.51,8.86,6.19,2.66,20.21,1.26,0.05,71.85,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,818,DHS,23/12/1992,5.65,4.61,18.44,30.56,46.39,11.69,0.27,87.64,20.21,12.07,75.5,79.99,82.63,27.99,17.9,16.34,10.22,17.81,10.94,18.68,11.28,2.28,3.02,2.88,3.48,2.57,4.61,5.4,55.3,6.39,5.55,0.83,27.85,0.39,0.07,67.08,41.88,18.76,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,818,DHS,19/12/1995,5.33,5.4,20.3,33.04,41.25,12.64,0.32,87.65,19.64,12.01,72.49,77.98,80.74,27.22,17.58,14.31,9.19,16.07,10.06,17.01,10.58,2.06,2.85,2.67,3.31,2.46,5.4,6.15,57.72,7.3,6.41,0.89,23.21,0.22,0.01,71.17,39.88,15.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,818,IPUMS,07-01-96,4.64,6.39,25.99,34.72,32.91,13.96,0.61,88.44,18.23,10.93,68.38,73.98,77.51,22.44,14.02,8.32,4.94,9.98,5.76,11.07,6.31,1.75,2.56,2.29,2.95,2.19,6.39,8.48,62.37,9.18,8.05,1.13,12.93,0.65,0.0,80.03,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,818,DHS,20/03/2000,5.25,4.97,20.29,35.03,39.7,12,0.15,87.87,19.87,11.97,71.97,77.79,81.04,26.68,17.06,13.52,8.36,15.28,9.29,16.28,9.77,1.92,2.66,2.54,3.14,2.51,4.97,6.03,59.74,6.88,5.85,1.03,22.09,0.29,0.0,72.65,40.21,14.66,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,818,DHS,06-06-03,5.05,5.76,22.51,36.35,35.37,12.83,0.14,87.42,20.03,12.42,69.4,75.98,79.22,26.29,17.35,12.92,8.74,14.65,9.72,15.7,10.27,1.72,2.47,2.34,2.95,2.51,5.76,6.94,55.44,7.24,6.22,1.02,24.37,0.26,0.0,69.62,40.43,15.83,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,818,DHS,06-02-05,4.88,5.27,23.7,38.75,32.27,12.34,0.2,87.42,19.85,12.39,66.74,74.16,78.45,25.92,17.22,11.02,7.34,13.04,8.4,14.29,9.09,1.62,2.43,2.21,2.82,2.47,5.27,7.59,61.05,7.07,6.14,0.93,18.78,0.24,0.0,75.71,39.02,12.59,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,818,IPUMS,07-01-06,4.19,6.6,29.93,41.18,22.28,13.84,0.32,88.46,17.94,11.22,61.59,68.31,73.6,21.09,13.76,5.09,3.27,6.63,4.05,8.02,4.75,1.34,2.17,1.82,2.48,2.21,6.6,9.75,64.28,9.55,7.97,1.59,9.29,0.52,0.0,83.58,32.16,4.61,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
