dataset,area,project_name,developer,Google Pin Location,land_size_acres,project_status,start_year,completion_year,number_of_bedrooms,typology,unit_plinth_area_sqm,total_units,number_units_per_acre,Year Data Valid, Unit Price, price_per_sqm, Rent per Month,rent_per_sqm,service_charge,"Mortgage Installments (90%present value, 20years tenor, 15% interest rate)",mortgage_installments, mortgage_to_rent_ratio,occupancy,annual_uptake,"Projected Yield assuming 90% occupancy rate, 6% stamp duty",Source
Neighborhood,Imara Daima,Imara Gardens,Imara Gardens Developers,"-1.32354, 36.87497",,complete,,,3,Apartments,132,,,2019,"  7,800,000 ","  59,091 ","  45,000 ",  341 ,3000,"Ksh92,438.63",87303.14933,  2.1 ,,,6%,"Field and online research, property agents interviews"
Neighborhood,Kahawa Wendani,Kahawa Downs,HF development and investment limited,"-1.19362, 36.93028",,complete,,,2,Apartments,86,220,,2019,"  6,700,000 ","  77,907 ","  35,000 ",  407 ,3000,"Ksh79,402.41",74991.16673,  2.3 ,,,5%,"Field and online research, property agents interviews"
Neighborhood,Kahawa Wendani,Kahawa Downs,HF development and investment limited,"-1.19362, 36.93028",,complete,,,3,Apartments,104,,,2019,"  7,700,000 ","  74,038 ","  45,000 ",  433 ,3000,"Ksh91,253.52",86183.87818,  2.0 ,,,6%,"Field and online research, property agents interviews"
NMDA,Kitengela,Kitengela Terraces,Sejal Dhulashia Patel and Susan Omino,"-1.48884, 36.95282",,Complete,2014,,1,Apartments,75,40,,2021,"  5,000,000 ","  66,667 ","  10,000 ",  133 ,,"Ksh59,255.53",,  5.9 ,100%,14%,2%,"Field and online research, property agents interviews"
Neighborhood,Kitengela,Kitengela Terraces,Sejal Dhulashia Patel and Susan Omino,"-1.48884, 36.95282",,Complete,,,2,Apartments,67,,,2019,"  4,800,000 ","  71,889 ","  25,000 ",  374 ,3000,"Ksh56,885.31",53725.01497,  2.3 ,,,5%,"Field and online research, property agents interviews"
Neighborhood,Kitengela,Kitengela Terraces,Sejal Dhulashia Patel and Susan Omino,"-1.48884, 36.95282",,Complete,,,2,Apartments,70,,,2019,"  5,060,000 ","  72,059 ","  25,000 ",  356 ,3000,"Ksh59,966.60",56635.11995,  2.4 ,,,5%,"Field and online research, property agents interviews"
Neighborhood,Kitengela,Kitengela Terraces,Sejal Dhulashia Patel and Susan Omino,"-1.48884, 36.95282",,Complete,,,2,Apartments,74,,,2019,"  5,350,000 ","  72,200 ","  28,000 ",  378 ,3000,"Ksh63,403.42",59881.00627,  2.3 ,,,5%,"Field and online research, property agents interviews"
Neighborhood,Kitengela,Kitengela Terraces,Sejal Dhulashia Patel and Susan Omino,"-1.48884, 36.95282",,Complete,,,2,Apartments,77,,,2019,"  5,530,000 ","  71,996 ","  28,000 ",  365 ,3000,"Ksh65,536.62",61895.69433,  2.3 ,,,5%,"Field and online research, property agents interviews"
Neighborhood,Kitengela,Kitengela Terraces,Sejal Dhulashia Patel and Susan Omino,"-1.48884, 36.95282",,Complete,,,2,Apartments,78,,,2019,"  5,600,000 ","  71,915 ","  30,000 ",  385 ,3000,"Ksh66,366.19",62679.18413,  2.2 ,,,5%,"Field and online research, property agents interviews"
Neighborhood,Lower Kabete,Kitisuru Spur Apartments,Heri Homes,"-1.23084, 36.73856",,Complete,2018,2021,2,Apartments,85,96,,2019,"  6,800,000 ","  80,000 ","  40,000 ",  471 ,3000,"Ksh80,587.52",76110.43787,  2.0 ,,,6%,"Field and online research, property agents interviews"
Neighborhood,Lower Kabete,Kitisuru Spur Apartments,Heri Homes,"-1.23084, 36.73856",,Complete,2018,2021,3,Apartments,105,48,,2019,"  8,400,000 ","  80,000 ","  50,000 ",  476 ,3000,"Ksh99,549.29",94018.7762,  2.0 ,,,6%,"Field and online research, property agents interviews"
NMDA,Racecourse,Lenana Forest View Apts,,"-1.30665, 36.73560",,Complete,2014,2014,3,Apartments,117,30,,2021,"  13,500,000 ","  115,031 ","  70,000 ",  596 ,3000,"Ksh159,989.93",,  2.3 ,83%,12%,5%,"Field and online research, property agents interviews"
Neighborhood,Racecourse,Lenana Forest View Apts,,"-1.30665, 36.73560",,Complete,2014,2014,3,Apartments,117,30,,2019,"  13,500,000 ","  115,031 ","  65,000 ",  554 ,3000,"Ksh159,989.93",151101.6046,  2.5 ,,,5%,"Field and online research, property agents interviews"
NMDA,Ruiru,Lifestyle  Heights,Lifestyle Estate Holdings Limited,"-1.15551, 36.88861",,ongoing,2018,,2,Apartments,81,78,,2021,"  8,000,000 ","  98,765 ","  50,000 ",  617 ,,"Ksh94,808.85",,  1.9 ,87%,27%,6%,"Field and online research, property agents interviews"
NMDA,Ruiru,Lifestyle  Heights,Lifestyle Estate Holdings Limited,"-1.15551, 36.88861",,ongoing,2018,,2,Apartments,100,82,,2021,"  9,500,000 ","  95,000 ","  50,000 ",  500 ,,"Ksh112,585.51",,  2.3 ,77%,27%,5%,"Field and online research, property agents interviews"
Developer,Ruiru,Lifestyle  Heights,Lifestyle Estate Holdings Limited,"-1.15551, 36.88861",,ongoing,,,3,Apartments,118,,,2021,,  -   ,,  -   ,,,,,,,,sold out
Developer,Ruiru,Lifestyle  Heights,Lifestyle Estate Holdings Limited,"-1.15551, 36.88861",,ongoing,,,3,Apartments,154,,,2021,,  -   ,,  -   ,,,,,,,,
NMDA,Ruiru,Lifestyle Heights,Lifestyle Estate Holdings Limited,"-1.15551, 36.88861",,ongoing,2018,,3,Apartments,115,,,2021,"  10,000,000 ","  86,957 ","  70,000 ",  609 ,,"Ksh118,511.06",,  1.7 ,,,7%,
NMDA,Ruiru,Lifestyle Heights,Lifestyle Estate Holdings Limited,"-1.15551, 36.88861",,ongoing,2018,,3,Apartments,132,244,,2021,"  12,000,000 ","  90,909 ","  70,000 ",  530 ,,"Ksh142,213.27",,  2.0 ,0%,21%,6%,
Neighborhood,Ruiru,Lifestyle Heights,Lifestyle Estate Holdings Limited,"-1.15551, 36.88861",,ongoing,,,2,Apartments,100,,,2019,"  7,500,000 ","  75,000 ","  55,000 ",  550 ,3000,"Ksh88,883.30",83945.33589,  1.6 ,,,7%,
Neighborhood,Ruiru,Lifestyle Heights,Lifestyle Estate Holdings Limited,"-1.15551, 36.88861",,ongoing,,,3,Apartments,132,,,2019,"  12,500,000 ","  94,697 ","  65,000 ",  492 ,3000,"Ksh148,138.83",139908.8931,  2.3 ,,,5%,
