area,Country,project_name,developer,Google Pin Location,number_of_bedrooms,typology,unit_plinth_area_sqm,total_units, Unit Price, price_per_sqm, Rent per Month,rent_per_sqm,service_charge,"Mortgage Installments (90%present value, 20years tenor, 15% interest rate)",mortgage_installments, mortgage_to_rent_ratio,"Projected Yield assuming 90% occupancy rate, 6% stamp duty"
Lavington,Kenya,Tashana Apartments,Siavonga Gardens Ltd,"-1.28492, 36.77781",3,Apartments,230,40,28000000,121845,100000,435,3000,331830.97,313395.9207,3.3,4
Lavington,Kenya,Tashana Apartments,Siavonga Gardens Ltd,"-1.28492, 36.77781",3,Apartments,260,40,32000000,123077,120000,462,3000,379235.4,358166.7665,3.2,4
Lavington,Kenya,Tashana Apartments,Siavonga Gardens Ltd,"-1.28492, 36.77781",4,Apartments,230,40,48000000,208877,160000,696,3000,568853.1,537250.1497,3.6,3
Kajiado,Kenya,Tausi,National Cooperative Housing Union (NACHU),"-1.64413, 36.87136",2,Bungalows,20,40,1150000,57500,12000,600,3000,13628.77,12871.61817,1.1,11
Kileleshwa,Kenya,The Crescent,Cytonn Real Estate,"-1.27932, 36.78203",3,Apartments,242,26,21000000,86777,120000,496,3003,248873.23,123660.884771413,2.1,6
Thindigua,Kenya,The Green Zone,Krishna Group,"-1.20018, 36.83057",2,Apartments,96,40,8000000,83333,45000,469,3003,94808.85,123660.884771413,2.1,6
Thindigua,Kenya,The Green Zone,Krishna Group,"-1.20018, 36.83057",3,Apartments,144,40,12000000,83333,67500,469,3003,142213.27,123660.884771413,2.1,6
Thindigua,Kenya,The Mocah Courtyard,Qwanza Homes Ltd,"-1.20400, 36.84313",2,Apartments,100,40,8500000,85000,40000,400,3000,100734.4,95138.04734,2.5,5
Thindigua,Kenya,The Mocah Courtyard,Qwanza Homes Ltd,"-1.20400, 36.84313",3,Apartments,140,40,13000000,92857,48000,343,3000,154064.38,145505.2489,3.2,4
Thindigua,Kenya,The Mocah Courtyard,Qwanza Homes Ltd,"-1.20400, 36.84313",3,Apartments,145,40,14000000,96552,50000,345,3000,165915.49,156697.9603,3.3,4
Thindigua,Kenya,The Mocah Courtyard,Qwanza Homes Ltd,"-1.20400, 36.84313",3,Apartments,170,40,16000000,94118,55000,324,3000,189617.7,179083.3832,3.4,4
Ridgeways,Kenya,The Ridge,Cytonn Real Estate,"-1.21627, 36.84572",1,Apartments,54,40,12174005.0890585,93429.5354752343,59775.1237623762,488.966974900925,3003,139923.78536802,123660.884771413,2.46908850726552,5
Ridgeways,Kenya,The Ridge,Cytonn Real Estate,"-1.21627, 36.84572",2,Apartments,99,40,12174005.0890585,93429.5354752343,59775.1237623762,488.966974900925,3003,139923.78536802,123660.884771413,2.46908850726552,5
Ridgeways,Kenya,The Ridge,Cytonn Real Estate,"-1.21627, 36.84572",3,Apartments,117,40,12174005.0890585,93429.5354752343,59775.1237623762,488.966974900925,3003,139923.78536802,123660.884771413,2.46908850726552,5
Ridgeways,Kenya,The Ridge,Cytonn Real Estate,"-1.21627, 36.84572",3,Apartments,124,40,12174005.0890585,93429.5354752343,59775.1237623762,488.966974900925,3003,139923.78536802,123660.884771413,2.46908850726552,5
Ridgeways,Kenya,The Ridge,Cytonn Real Estate,"-1.21627, 36.84572",3,Apartments,137,40,12174005.0890585,93429.5354752343,59775.1237623762,488.966974900925,3003,139923.78536802,123660.884771413,2.46908850726552,5
Ridgeways,Kenya,The Ridge,Cytonn Real Estate,"-1.21627, 36.84572",2.64383561643836,Apartments,111,800,12174005.0890585,93429.5354752343,59775.1237623762,488.966974900925,3003,139923.78536802,123660.884771413,2.46908850726552,5
Ngara,Kenya,The River Estate,Edermann Group Ltd,"-1.27805, 36.82746",1,Apartments,111,40,12174005.0890585,93429.5354752343,30000,488.966974900925,3003,139923.78536802,123660.884771413,2.46908850726552,5
Kitengela,Kenya,The Riverine,Zamara Fanaka Retirement Fund,"-1.57144, 36.92842",2,Apartments,89,40,7000000,78652,30000,337,3000,82957.74,78348.98016,2.8,4
