area,Country,project_name,developer,Google Pin Location,number_of_bedrooms,typology,unit_plinth_area_sqm,total_units, Unit Price, price_per_sqm, Rent per Month,rent_per_sqm,service_charge,"Mortgage Installments (90%present value, 20years tenor, 15% interest rate)",mortgage_installments, mortgage_to_rent_ratio,"Projected Yield assuming 90% occupancy rate, 6% stamp duty"
Racecourse,Kenya,Racecourse Gardens Apartments,Peninsula Development Company Ltd,"-1.29932, 36.74658",2,Apartments,66,206,8000000,121212,40000,606,3000,94808.85,89541.69162,2.4,5
Juja,Kenya,Red Oak,Banda Homes,"-1.07974, 36.99172",3,Bungalows,138,58,4750000,34420,30000,217,3000,56292.75,53165.3794,1.9,6
Juja,Kenya,Red Oak,Banda Homes,"-1.07974, 36.99172",4,Maisonette,200,50,6750000,33750,40000,200,3000,79994.97,75550.8023,2,6
Juja,Kenya,Redwood Estate,Banda Homes,"-1.05485, 36.95582",3,Bungalows,138,58,4750000,34420,30000,217,3000,56292.75,53165.3794,1.9,6
Juja,Kenya,Redwood Estate,Banda Homes,"-1.05485, 36.95582",4,Maisonette,200,50,6750000,33750,40000,200,3000,79994.97,75550.8023,2,6
Dagoretti,Kenya,Riruta Gardens Apartments,Cytonn Real Estate,"-1.28144, 36.73397",1,Apartments,21,64,1900000,90476,16500,786,3003,22517.1,123660.884771413,1.4,9
Dagoretti,Kenya,Riruta Gardens Apartments,Cytonn Real Estate,"-1.28144, 36.73397",1,Apartments,33,96,3250000,98485,26500,803,3003,38516.1,123660.884771413,1.5,8
Dagoretti,Kenya,Riruta Gardens Apartments,Cytonn Real Estate,"-1.28144, 36.73397",2,Apartments,45,64,4200000,93333,38500,856,3003,49774.65,123660.884771413,1.3,9
Dagoretti,Kenya,Riruta Gardens Apartments,Cytonn Real Estate,"-1.28144, 36.73397",3,Apartments,61,32,6200000,101639,57500,943,3003,73476.86,123660.884771413,1.3,9
Riruta,Kenya,Riruta Gardens Apartments,Cytonn Real Estate,"-1.28144, 36.73397",1,Apartments,19,40,1900000,99764,12000,630,3000,22517.1,21266.15176,1.9,6
Riruta,Kenya,Riruta Gardens Apartments,Cytonn Real Estate,"-1.28144, 36.73397",1,Apartments,21,64,2250000,106692,12000,569,3000,26664.99,25183.60077,2.2,5
Riruta,Kenya,Riruta Gardens Apartments,Cytonn Real Estate,"-1.28144, 36.73397",1,Apartments,30,40,3000000,99975,15000,500,3000,35553.32,33578.13436,2.4,5
Riruta,Kenya,Riruta Gardens Apartments,Cytonn Real Estate,"-1.28144, 36.73397",1,Apartments,33,96,4200000,127273,18000,545,3000,49774.65,47009.3881,2.8,4
Riruta,Kenya,Riruta Gardens Apartments,Cytonn Real Estate,"-1.28144, 36.73397",2,Apartments,45,64,4500000,100286,25000,557,3000,53329.98,50367.20153,2.1,6
Riruta,Kenya,Riruta Gardens Apartments,Cytonn Real Estate,"-1.28144, 36.73397",3,Apartments,61,32,6200000,102357,30000,495,3000,73476.86,69394.811,2.4,5
Athi River,Kenya,Riverview,Karibu Homes,"-1.43513, 36.99633",2,Apartments,55,181,3560000,64727,18000,327,3000,42189.94,42189.93823,2.3,5
Athi River,Kenya,Riverview,Karibu Homes,"-1.43513, 36.99633",2,Apartments,63,180,4150000,65873,20000,317,3000,49182.09,49182.09091,2.5,5
Athi River,Kenya,Riverview,Karibu Homes,"-1.43513, 36.99633",3,Apartments,71,180,4340000,61127,23000,324,3000,51433.8,51433.8011,2.2,5
Athi River,Kenya,Riverview,Karibu Homes,"-1.43513, 36.99633",3,Apartments,92,180,6050000,66120,28000,306,3000,71699.19,71699.19277,2.6,5
Athi River,Kenya,Riverview,Karibu Homes,"-1.43513, 36.99633",3,Apartments,93,180,5810000,62473,25000,269,3000,68854.93,68854.92727,2.8,4
Athi River,Kenya,Riverview,Karibu Homes,"-1.43513, 36.99633",1,Apartments,33,181,12174005.0890585,93429.5354752343,15000,455,3003,139923.78536802,123660.884771413,2.46908850726552,5
Ruiru,Kenya,Rock Gardens Ruiru Estate,Mahiga Homes,"-1.12647, 36.92807",3,Bungalows,115,78,4250000,36957,30000,261,3000,50367.2,47569.02367,1.7,7
Joska,Kenya,Rockvilla Annex Estate,Mahiga Homes,"-1.28323, 37.12631",3,Bungalows,106,78,3950000,37264,30000,283,3000,46811.87,44211.21024,1.6,8
Juja,Kenya,Rose Park Estate,Banda Homes,"-1.09266, 37.08418",3,Bungalows,100,30,3250000,32500,30000,300,3000,38516.1,36376.31222,1.3,9
Juja,Kenya,Rosewood Estate,Banda Homes,"-1.04943, 36.95481",3,Bungalows,138,92,4750000,34420,30000,217,3000,56292.75,53165.3794,1.9,6
Upperhill,Kenya,Royal Gardens,Cytonn Real Estate,"-1.30478, 36.81765",2,Apartments,142,12,26000000,183099,90000,634,3003,308128.76,123660.884771413,3.4,4
Upperhill,Kenya,Royal Gardens,Cytonn Real Estate,"-1.30478, 36.81765",3,Apartments,240,20,27000000,112500,130000,542,3003,319979.87,123660.884771413,2.5,5
Kilimani,Kenya,Royal Gardens,Cytonn Real Estate,"-1.30478, 36.81765",4,Apartments,300,40,85000000,283333,200000,667,3000,1007344.03,951380.4734,5,2
Ruaka,Kenya,Ruaka Ridge Apartments,Safaricom Investment Sacco,"-1.20737, 36.78066",2,Apartments,92,15,8000000,86957,40000,435,3003,94808.85,123660.884771413,2.4,5
Ruaka,Kenya,Ruaka Ridge Apartments,Safaricom Investment Sacco,"-1.20737, 36.78066",1,Apartments,63,40,6300000,100000,30000,476,3000,74661.97,70514.08215,2.5,5
Ruaka,Kenya,Ruaka Ridge Apartments,Safaricom Investment Sacco,"-1.20737, 36.78066",2,Apartments,92,15,7000000,76087,40000,435,3000,82957.74,78348.98016,2.1,6
Ruaka,Kenya,Runda View Apartments,County Developers,"-1.20508, 36.77128",2,Apartments,86,21,9500000,110465,46000,535,3000,112585.51,123660.884771413,2.4,5
Ruaka,Kenya,Runda View Apartments,County Developers,"-1.20508, 36.77128",3,Apartments,104,65,10750000,103365,56000,538,3000,127399.39,123660.884771413,2.3,5
Ruaka,Kenya,Runda View Apartments,County Developers,"-1.20508, 36.77128",2,Apartments,86,21,9750000,113372,45000,523,3000,115548.29,109128.9367,2.6,5
Ruaka,Kenya,Runda View Apartments,County Developers,"-1.20508, 36.77128",3,Apartments,104,65,10750000,103365,55000,529,3000,127399.39,120321.6481,2.3,5
Kileleshwa,Kenya,Savannah Apartments,Cytonn Real Estate,"-1.27915, 36.79334",3,Apartments,233,47,23500000,101075,150000,645,3003,278501,123660.884771413,1.9,7
Joska,Kenya,Savannah Greens Estate,Mintvilla Housing,"-1.30631, 37.09220",3,Bungalows,111,46,5900000,93429.5354752343,35000,488.966974900925,3000,69921.53,263028.7191,2,6
Mbagathi,Kenya,Seefar Apartments,Edermann Group Ltd,"-1.31718, 36.80624",2,Apartments,90,264,12174005.0890585,93429.5354752343,35000,389,3003,139923.78536802,123660.884771413,2.46908850726552,5
Mbagathi,Kenya,Seefar Apartments,Edermann Group Ltd,"-1.31718, 36.80624",2,Apartments,90,264,6000000,66667,30000,333,3003,71106.64,123660.884771413,2.4,5
Mbagathi,Kenya,Seefar Apartments,Edermann Group Ltd,"-1.31718, 36.80624",3,Apartments,116,24,12174005.0890585,93429.5354752343,45000,388,3003,139923.78536802,123660.884771413,2.46908850726552,5
Mbagathi,Kenya,Seefar Apartments,Edermann Group Ltd,"-1.31718, 36.80624",3,Apartments,116,24,9000000,77586,42000,362,3003,106659.96,123660.884771413,2.5,5
Mlolongo,Kenya,Sheshe Gardens,Manrik Properties Limited,"-1.41102, 36.95234",2,Apartments,92,60,6000000,65217,40000,435,3003,71106.64,123660.884771413,1.8,7
Mlolongo,Kenya,Sheshe Gardens,Manrik Properties Limited,"-1.41102, 36.95234",3,Apartments,143,40,9000000,62937,30000,210,3003,106659.96,123660.884771413,3.6,3
Mlolongo,Kenya,Sheshe Gardens,Manrik Properties Limited,"-1.41102, 36.95234",2,Apartments,92,60,5700000,61957,30000,326,3000,67551.31,67551.30559,2.3,5
Mlolongo,Kenya,Sheshe Gardens,Manrik Properties Limited,"-1.41102, 36.95234",3,Apartments,143,40,8700000,60839,40000,280,3000,103104.62,103104.6243,2.6,5
Athi River,Kenya,Sidai Village,Chigwell Holdings Ltd,"-1.44671, 37.00242",3,Bungalows,107,127,7500000,70093,30000,280,3000,88883.3,88883.29682,3,4
Kilimani,Kenya,Silver Harbor,South River Developers,"-1.29772, 36.78995",2,Apartments,93,40,12000000,129032,75000,806,3000,142213.27,134312.5374,1.9,6
Kilimani,Kenya,Silver Harbor,South River Developers,"-1.29772, 36.78995",2,Apartments,102,40,14000000,137255,85000,833,3000,165915.49,156697.9603,2,6
Kilimani,Kenya,Silver Harbor,South River Developers,"-1.29772, 36.78995",2,Apartments,102,40,14000000,137255,85000,833,3000,165915.49,156697.9603,2,6
Kilimani,Kenya,Silver Harbor,South River Developers,"-1.29772, 36.78995",2,Apartments,109,40,13000000,119266,80000,734,3000,154064.38,145505.2489,1.9,6
Kilimani,Kenya,Silver Harbor,South River Developers,"-1.29772, 36.78995",3,Apartments,109,40,13000000,119266,85000,780,3000,154064.38,145505.2489,1.8,7
Kilimani,Kenya,Silver Harbor,South River Developers,"-1.29772, 36.78995",3,Apartments,123,40,15000000,121951,85000,691,3000,177766.59,167890.6718,2.1,6
Kilimani,Kenya,Silver Harbor,South River Developers,"-1.29772, 36.78995",3,Apartments,123,40,15000000,121951,90000,732,3000,177766.59,167890.6718,2,6
Kilimani,Kenya,Silver Harbor,South River Developers,"-1.29772, 36.78995",3,Apartments,132,40,16000000,121212,90000,682,3000,189617.7,179083.3832,2.1,6
Kilimani,Kenya,Silver Harbor,South River Developers,"-1.29772, 36.78995",3,Apartments,158,40,19500000,123418,110000,696,3000,231096.57,218257.8733,2.1,6
Kilimani,Kenya,Silver Harbor,South River Developers,"-1.29772, 36.78995",3,Apartments,234,40,29000000,123932,130000,556,3000,343682.08,324588.6321,2.6,5
Kilimani,Kenya,Silver Harbor,South River Developers,"-1.29772, 36.78995",4,Apartments,236,40,29000000,122881,130000,551,3000,343682.08,324588.6321,2.6,5
Kilimani,Kenya,Silver Harbor,South River Developers,"-1.29772, 36.78995",5,Apartments,247,40,30500000,123482,150000,607,3000,361458.74,341377.6993,2.4,5
Kilimani,Kenya,Silver Harbor,South River Developers,"-1.29772, 36.78995",5,Apartments,291,40,36000000,123711,180000,619,3000,426639.82,402937.6123,2.4,5
Athi River,Kenya,Sunset Boulevard Apartments,Sichuan Huashi Development Company Limited,"-1.43497, 36.98339",1,Apartments,52,64,3500000,67282,16000,308,3003,41478.87,123660.884771413,2.6,5
Athi River,Kenya,Sunset Boulevard Apartments,Sichuan Huashi Development Company Limited,"-1.43497, 36.98339",2,Apartments,71,209,4800000,67606,20000,282,3003,56885.31,123660.884771413,2.8,4
Athi River,Kenya,Sunset Boulevard Apartments,Sichuan Huashi Development Company Limited,"-1.43497, 36.98339",3,Apartments,111,84,6700000,60360,27000,243,3003,79402.41,123660.884771413,2.9,4
Syokimau,Kenya,Sunset Boulevard Apartments,Sichuan Huashi Development Company Limited,"-1.43497, 36.98339",1,Apartments,52,64,3000000,57664,16000,308,3000,35553.32,35553.31873,2.2,5
Syokimau,Kenya,Sunset Boulevard Apartments,Sichuan Huashi Development Company Limited,"-1.43497, 36.98339",2,Apartments,71,209,5000000,70816,22000,312,3000,59255.53,59255.53122,2.7,4
Syokimau,Kenya,Sunset Boulevard Apartments,Sichuan Huashi Development Company Limited,"-1.43497, 36.98339",3,Apartments,111,84,6900000,61893,28000,251,3000,81772.63,81772.63308,2.9,4
Ruaka,Kenya,Taraji Heights,Cytonn Real Estate,"-1.19937, 36.75764",2,Apartments,84,40,7900000,94048,35000,417,3000,93623.74,88422.42047,2.7,5
Ruaka,Kenya,Taraji Heights,Cytonn Real Estate,"-1.19937, 36.75764",3,Apartments,117,40,11500000,98291,45000,385,3000,136287.72,128716.1817,3,4
Ruaka,Kenya,Taraji Heights,Cytonn Real Estate,"-1.19937, 36.75764",3,Apartments,130,40,12174005.0890585,93429.5354752343,59775.1237623762,488.966974900925,3000,139923.78536802,0,2.46908850726552,5
Ruaka,Kenya,Temus,Cytonn Real Estate,"-1.20732, 36.78034",2,Apartments,90,35,9000000,100334,45000,502,3003,106659.96,123660.884771413,2.4,5
Ruaka,Kenya,Temus,Cytonn Real Estate,"-1.20732, 36.78034",2,Apartments,90,35,8400000,93333,45000,500,3000,99549.29,94018.7762,2.2,5
Ruaka,Kenya,Temus,Cytonn Real Estate,"-1.20732, 36.78034",3,Apartments,107,40,10500000,98131,55000,514,3000,124436.62,117523.4702,2.3,5
Ruaka,Kenya,The Alma,Cytonn Real Estate,"-1.20477, 36.76967",1,Apartments,51,40,6600000,129412,40000,784,3000,78217.3,73871.89558,2,6
Ruaka,Kenya,The Alma,Cytonn Real Estate,"-1.20477, 36.76967",2,Apartments,84,40,10500000,125000,50000,595,3500,124436.62,117523.4702,2.5,5
Ruaka,Kenya,The Alma,Cytonn Real Estate,"-1.20477, 36.76967",3,Apartments,117,40,13500000,115385,65000,556,4000,159989.93,151101.6046,2.5,5
Juja,Kenya,The Olive Estate,Banda Homes,"-1.13422, 37.01335",3,Bungalows,148,40,5500000,37162,30000,203,3000,65181.08,61559.91299,2.2,6
Ruiru,Kenya,The Riverfront,Mahiga Homes,"-1.27188, 36.80649",3,Bungalows,117,67,5500000,47009,40000,342,3000,65181.08,61559.91299,1.6,7
Kahawa West,Kenya,Topsun,Cytonn Real Estate,"-1.19201, 36.89018",3,Apartments,110,12,5800000,52727,26000,236,3003,68736.42,123660.884771413,2.6,5
Kahawa West,Kenya,Warira Court,Cytonn Real Estate,"-1.19246, 36.90269",2,Apartments,98,40,5800000,59184,36000,367,3003,68736.42,123660.884771413,1.9,6
Kahawa West,Kenya,Warira Court,Cytonn Real Estate,"-1.19246, 36.90269",2,Apartments,98,40,5750000,58673,30000,306,3000,68143.86,64358.09085,2.3,5
Woodley,Kenya,Woodley Springs,Cytonn Real Estate,"-1.30463, 36.77957",2,Apartments,89,21,9500000,106742,60000,674,3003,112585.51,123660.884771413,1.9,6
Woodley,Kenya,Woodley Springs,Cytonn Real Estate,"-1.30463, 36.77957",3,Apartments,150,21,16000000,106667,85000,567,3003,189617.7,123660.884771413,2.2,5
Woodley,Kenya,Woodley Springs,Cytonn Real Estate,"-1.30463, 36.77957",3,Apartments,155,21,15000000,96774,80000,516,3003,177766.59,123660.884771413,2.2,5
Woodley,Kenya,Woodley Springs,Cytonn Real Estate,"-1.30463, 36.77957",2,Apartments,89,21,10500000,117978,45000,506,3000,124436.62,117523.4702,2.8,4
Woodley,Kenya,Woodley Springs,Cytonn Real Estate,"-1.30463, 36.77957",3,Apartments,150,21,14750000,98333,55000,367,3000,174803.82,165092.4939,3.2,4
Woodley,Kenya,Woodley Springs,Cytonn Real Estate,"-1.30463, 36.77957",3,Apartments,155,21,15750000,101613,65000,419,3000,186654.92,176285.2054,2.9,4
Dagoretti,Kenya,Zahara Gardens,Cytonn Real Estate,"-1.30189, 36.75270",2,Apartments,86,30,5250000,61047,30000,349,3003,62218.31,123660.884771413,2.1,6
Dagoretti,Kenya,Zahara Gardens,Cytonn Real Estate,"-1.30189, 36.75270",2,Apartments,119,30,6500000,54622,50000,420,3000,77032.19,72752.62444,1.5,8
Ruaka,Kenya,Cascadia Apartments,Centum Real Estate,"-1.25443, 36.82311",1,Apartments,57,40,9000000,157895,60000,1053,3003,106659.96,123660.884771413,1.8,7
Ruaka,Kenya,Cascadia Apartments,Centum Real Estate,"-1.25443, 36.82311",2,Apartments,90,40,12300000,136667,80000,889,3003,145768.61,123660.884771413,1.8,7
Ruaka,Kenya,Cascadia Apartments,Centum Real Estate,"-1.25443, 36.82311",3,Apartments,108,40,14400000,133333,100000,926,3003,170655.93,123660.884771413,1.7,7
Ruaka,Kenya,Cascadia Apartments,Centum Real Estate,"-1.25443, 36.82311",1,Apartments,57,40,8500000,149123,50000,877,3000,100734.4,95138.04734,2,6
Ruaka,Kenya,Cascadia Apartments,Centum Real Estate,"-1.25443, 36.82311",2,Apartments,90,40,12300000,136667,75000,833,3000,145768.61,137670.3509,1.9,6
Ruaka,Kenya,Cascadia Apartments,Centum Real Estate,"-1.25443, 36.82311",3,Apartments,108,40,14400000,133333,100000,926,3000,170655.93,161175.0449,1.7,7
Athi River,Kenya,Everest Park Apartments,Everest Park Limited,"-1.43652, 36.97754",1,Apartments,48,60,2750000,57292,15500,323,3003,32590.54,123660.884771413,2.1,6
Athi River,Kenya,Everest Park Apartments,Everest Park Limited,"-1.43652, 36.97754",1,Apartments,48,60,2950000,61458,15000,313,3000,34960.76,34960.76342,2.3,5
Athi River,Kenya,Everest Park Apartments,Everest Park Limited,"-1.43652, 36.97754",2,Apartments,83,100,5000000,60606,25000,303,3003,59255.53,123660.884771413,2.4,5
Athi River,Kenya,Everest Park Apartments,Everest Park Limited,"-1.43652, 36.97754",2,Apartments,83,100,4950000,60000,25000,303,3000,58662.98,58662.9759,2.3,5
Athi River,Kenya,Everest Park Apartments,Everest Park Limited,"-1.43652, 36.97754",3,Apartments,107,40,6800000,63551,28000,262,3003,80587.52,123660.884771413,2.9,4
Athi River,Kenya,Everest Park Apartments,Everest Park Limited,"-1.43652, 36.97754",3,Apartments,107,40,6500000,60748,30000,280,3000,77032.19,77032.19058,2.6,5
Syokimau,Kenya,Five Star Gardens,AMS Properties,"-1.36425, 36.91738",2,Apartments,77,177,5800000,75190,25000,324,3003,68736.42,123660.884771413,2.7,4
Syokimau,Kenya,Five Star Gardens,AMS Properties,"-1.36425, 36.91738",2,Apartments,77,177,5000000,64843,25000,324,3000,59255.53,59255.53122,2.4,5
Syokimau,Kenya,Five Star Gardens,AMS Properties,"-1.36425, 36.91738",3,Apartments,105,136,7000000,66655,32000,305,3003,82957.74,123660.884771413,2.6,5
Syokimau,Kenya,Five Star Gardens,AMS Properties,"-1.36425, 36.91738",3,Apartments,105,136,7000000,66667,30000,286,3000,82957.74,82957.7437,2.8,4
Syokimau,Kenya,Greatwall Apartments,Erdemann Group Ltd,"-1.38279, 36.93900",2,Apartments,79,528,4300000,54430,20000,253,3000,50959.76,50959.75685,2.5,5
Athi River,Kenya,Greatwall Gardens,Erdemann Group Ltd,"-1.42916, 36.97697",2,Apartments,90,420,3000000,33333,20000,222,3000,35553.32,35553.31873,1.8,7
Syokimau,Kenya,Greatwall Apartments,Erdemann Group Ltd,"-1.38279, 36.93900",3,Apartments,110,384,6000000,54545,25000,227,3003,71106.64,123660.884771413,2.8,4
Syokimau,Kenya,Greatwall Apartments,Erdemann Group Ltd,"-1.38279, 36.93900",3,Apartments,110,384,7000000,63636,32000,291,3000,82957.74,82957.7437,2.6,5
Athi River,Kenya,Greatwall Gardens,Erdemann Group Ltd,"-1.42916, 36.97697",3,Apartments,104,1712,3400000,32692,25000,240,3000,40293.76,40293.76123,1.6,7
Athi River,Kenya,Greatwall Gardens,Erdemann Group Ltd,"-1.42916, 36.97697",3,Apartments,107,231,3500000,32710,25000,234,3000,41478.87,41478.87185,1.7,7
Athi River,Kenya,Greatwall Gardens,Erdemann Group Ltd,"-1.42916, 36.97697",3,Apartments,104,1712,3000000,28846,59775.1237623762,488.966974900925,3003,35553.32,123660.884771413,2.46908850726552,5
Athi River,Kenya,Greatwall Gardens,Erdemann Group Ltd,"-1.42916, 36.97697",3,Apartments,107,231,12174005.0890585,93429.5354752343,59775.1237623762,488.966974900925,3003,139923.78536802,123660.884771413,2.46908850726552,5
Kikuyu,Kenya,Kikuyu Heights,Heri Homes,"-1.28232, 36.72922",1,Apartments,45,21,3600000,80214,32000,713,3003,42663.98,123660.884771413,1.3,9
Dagoretti,Kenya,Kikuyu Heights,Heri Homes,"-1.28232, 36.72922",1,Apartments,45,21,3500000,77778,22000,489,3000,41478.87,39174.49008,1.9,6
Kikuyu,Kenya,Kikuyu Heights,Heri Homes,"-1.28232, 36.72922",2,Apartments,73,14,5500000,75342,35500,486,3003,65181.08,123660.884771413,1.8,7
Dagoretti,Kenya,Kikuyu Heights,Heri Homes,"-1.28232, 36.72922",2,Apartments,73,14,5500000,75342,30000,411,3000,65181.08,61559.91299,2.2,6
Kikuyu,Kenya,Kikuyu Heights,Heri Homes,"-1.28232, 36.72922",3,Apartments,90,21,6600000,73579,38000,424,3003,78217.3,123660.884771413,2.1,6
Kikuyu,Kenya,Kikuyu Heights,Heri Homes,"-1.28232, 36.72922",3,Apartments,96,28,6800000,70833,39500,411,3003,80587.52,123660.884771413,2,6
Kikuyu,Kenya,Kikuyu Heights,Heri Homes,"-1.28232, 36.72922",3,Apartments,90,21,6500000,72222,35000,389,3000,77032.19,72752.62444,2.2,5
Kikuyu,Kenya,Kikuyu Heights,Heri Homes,"-1.28232, 36.72922",3,Apartments,96,28,6000000,62500,35000,365,3000,71106.64,67156.26871,2,6
Komarock,Kenya,Komarock Heights,HF development and investment limited,"-1.27294, 36.90525",2,Apartments,92,144,5800000,63043,30000,326,3000,68736.42,64917.72642,2.3,5
Komarock,Kenya,Komarock Heights,HF development and investment limited,"-1.27294, 36.90525",3,Apartments,113,336,5800000,51327,40000,354,3003,68736.42,123660.884771413,1.7,7
Komarock,Kenya,Komarock Heights,HF development and investment limited,"-1.27294, 36.90525",3,Apartments,113,336,6800000,60177,40000,354,3000,80587.52,76110.43787,2,6
Komarock,Kenya,Komarock Heights,HF development and investment limited,"-1.27294, 36.90525",4,Maisonette,117,115,9500000,81197,38000,325,3000,112585.51,103532.5809,3,4
Komarock,Kenya,Komarock Heights,HF development and investment limited,"-1.27294, 36.90525",4,Maisonette,124,162,10000000,80645,40000,323,3000,118511.06,106330.7588,3,4
Syokimau,Kenya,Lifestyle Gardens,Lifestyle Estate Holdings Limited,"-1.36196, 36.93230",4,Apartments,150,70,7500000,50000,50000,333,3003,88883.3,123660.884771413,1.8,7
Syokimau,Kenya,Lifestyle Gardens,Lifestyle Estate Holdings Limited,"-1.36196, 36.93230",4,Apartments,150,70,12174005.0890585,93429.5354752343,50000,333,3000,0,177766.5936,2.46908850726552,5
Imara Daima,Kenya,Oak Park Apartments,Cytonn Real Estate,"-1.32499, 36.87576",2,Apartments,93,40,6000000,64516,32000,344,3003,71106.64,123660.884771413,2.2,5
Imara Daima,Kenya,Oak Park Apartments,Cytonn Real Estate,"-1.32499, 36.87576",3,Apartments,111,40,8500000,93429.5354752343,40000,488.966974900925,3003,100734.4,123660.884771413,2.5,5
Juja,Kenya,Oak Park Estate,Banda Homes,"-1.05123, 36.94194",3,Bungalows,138,40,12174005.0890585,93429.5354752343,35000,254,3003,139923.78536802,123660.884771413,2.46908850726552,5
Juja,Kenya,Oak Park Estate,Banda Homes,"-1.05123, 36.94194",3,Bungalows,138,40,3990000,28913,30000,217,3000,47285.91,44658.91869,1.6,8
Imara Daima,Kenya,Oak Park Apartments,Cytonn Real Estate,"-1.32499, 36.87576",3,Apartments,111,40,7900000,93429.5354752343,30000,488.966974900925,3000,93623.74,88422.42047,3.1,4
Riruta,Kenya,Precious Gardens,HF development and investment limited,"-1.28053, 36.74006",1,Apartments,68,24,12174005.0890585,93429.5354752343,32000,471,3003,139923.78536802,123660.884771413,2.46908850726552,5
Riruta,Kenya,Precious Gardens,HF development and investment limited,"-1.28053, 36.74006",1,Apartments,68,24,5700000,83824,28000,412,3003,67551.31,123660.884771413,2.4,5
Riruta,Kenya,Precious Gardens,HF development and investment limited,"-1.28053, 36.74006",2,Apartments,87,60,12174005.0890585,93429.5354752343,40000,460,3003,139923.78536802,123660.884771413,2.46908850726552,5
Riruta,Kenya,Precious Gardens,HF development and investment limited,"-1.28053, 36.74006",2,Apartments,87,60,7500000,86207,39000,448,3003,88883.3,123660.884771413,2.3,5
Riruta,Kenya,Precious Gardens,HF development and investment limited,"-1.28053, 36.74006",3,Apartments,121,81,9500000,78512,50000,413,3003,112585.51,123660.884771413,2.3,5
Riruta,Kenya,Precious Gardens,HF development and investment limited,"-1.28053, 36.74006",3,Apartments,121,40,9500000,78512,40000,331,3000,112585.51,106330.7588,2.8,4
Kahawa West,Kenya,Richland Pointe,HF development and investment limited,"-1.17926, 36.89057",2,Apartments,97,65,12174005.0890585,93429.5354752343,59775.1237623762,488.966974900925,3003,139923.78536802,123660.884771413,2.46908850726552,5
Kahawa West,Kenya,Richland Pointe,HF development and investment limited,"-1.17926, 36.89057",2,Apartments,97,65,8500000,87629,35000,361,3000,100734.4,95138.04734,2.9,4
Kahawa West,Kenya,Richland Pointe,HF development and investment limited,"-1.17926, 36.89057",3,Apartments,125,183,9500000,76000,54000,432,3003,112585.51,123660.884771413,2.1,6
Kahawa West,Kenya,Richland Pointe,HF development and investment limited,"-1.17926, 36.89057",3,Apartments,125,183,9500000,76000,45000,360,3000,112585.51,106330.7588,2.5,5
