Country Name,Time,"Population, total [SP.POP.TOTL]",GDP (constant 2015 US$) [NY.GDP.MKTP.KD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],Net migration [SM.POP.NETM],Population density (people per sq. km of land area) [EN.POP.DNST],Population in largest city [EN.URB.LCTY],Population in the largest city (% of urban population) [EN.URB.LCTY.UR.ZS],Population growth (annual %) [SP.POP.GROW],Urban population growth (annual %) [SP.URB.GROW],Population ages 0-14 (% of total population) [SP.POP.0014.TO.ZS],"Population ages 0-14, female (% of female population) [SP.POP.0014.FE.ZS]","Population ages 0-14, male (% of male population) [SP.POP.0014.MA.ZS]","Population ages 0-14, total [SP.POP.0014.TO]","Population ages 15-19, female (% of female population) [SP.POP.1519.FE.5Y]","Population ages 15-19, male (% of male population) [SP.POP.1519.MA.5Y]","Population ages 20-24, female (% of female population) [SP.POP.2024.FE.5Y]","Population ages 20-24, male (% of male population) [SP.POP.2024.MA.5Y]","Population ages 25-29, female (% of female population) [SP.POP.2529.FE.5Y]","Population ages 25-29, male (% of male population) [SP.POP.2529.MA.5Y]","Population ages 30-34, female (% of female population) [SP.POP.3034.FE.5Y]","Population ages 30-34, male (% of male population) [SP.POP.3034.MA.5Y]","Population ages 35-39, female (% of female population) [SP.POP.3539.FE.5Y]","Population ages 35-39, male (% of male population) [SP.POP.3539.MA.5Y]","Population ages 40-44, female (% of female population) [SP.POP.4044.FE.5Y]","Population ages 40-44, male (% of male population) [SP.POP.4044.MA.5Y]","Population ages 45-49, female (% of female population) [SP.POP.4549.FE.5Y]","Population ages 45-49, male (% of male population) [SP.POP.4549.MA.5Y]","Population ages 50-54, female (% of female population) [SP.POP.5054.FE.5Y]","Population ages 50-54, male (% of male population) [SP.POP.5054.MA.5Y]","Population ages 55-59, female (% of female population) [SP.POP.5559.FE.5Y]","Population ages 55-59, male (% of male population) [SP.POP.5559.MA.5Y]","Population ages 60-64, female (% of female population) [SP.POP.6064.FE.5Y]","Population ages 60-64, male (% of male population) [SP.POP.6064.MA.5Y]",Population ages 65 and above (% of total population) [SP.POP.65UP.TO.ZS],"Population ages 65 and above, female [SP.POP.65UP.FE.IN]","Population ages 65 and above, male [SP.POP.65UP.MA.IN]","Population ages 65-69, female (% of female population) [SP.POP.6569.FE.5Y]","Population ages 65-69, male (% of male population) [SP.POP.6569.MA.5Y]","Population ages 70-74, female (% of female population) [SP.POP.7074.FE.5Y]","Population ages 70-74, male (% of male population) [SP.POP.7074.MA.5Y]","Population ages 75-79, female (% of female population) [SP.POP.7579.FE.5Y]","Population ages 75-79, male (% of male population) [SP.POP.7579.MA.5Y]","Population ages 80 and above, female (% of female population) [SP.POP.80UP.FE.5Y]","Population ages 80 and above, male (% of male population) [SP.POP.80UP.MA.5Y]",Urban population [SP.URB.TOTL],Urban population (% of total population) [SP.URB.TOTL.IN.ZS]
Sudan,2016.0,39377169.0,87932112460.45459,3.467642184092881,2233.07348632813,0.298783690019718,97646.0,21.07985492505353,5260153.0,39.15003285232293,3.11054531285464,3.7780493905987895,41.7744073983582,41.210180729841,42.3387356383874,16449579.0,10.4589548696084,10.6581525069129,9.2394238773686,9.3521259472553,8.10675012410263,8.34194971887908,6.86336481515711,7.35949763325069,5.31860609024524,5.63523932581773,4.08642931376077,3.95122369352581,3.50729556369383,2.95343646921004,3.15526283132558,2.42675648990917,2.83699281930218,2.21672756826429,2.24357288807849,1.94302404210941,2.89815527368156,585427.0,555785.0,1.41355998303027,1.37593376276632,0.767555935312801,0.787250348424866,0.41143998586313,0.383754353326624,0.380610173309965,0.276192501960386,13435884.0,34.121
Sudan,2017.0,40679828.0,88555776494.40825,0.7092562847664396,2176.896484375,-2.5156863868962063,189497.0,21.777209850107067,5395378.0,38.5889741108654,3.25461617065729,3.981721805744245,41.5313309584298,40.9642818495335,42.0986148819489,16894874.0,10.4116498107353,10.6071742243882,9.21067161184548,9.31553953862476,8.11693322069475,8.27454530894395,6.93281246877938,7.37300531550335,5.47068761794099,5.8419321465815,4.12376801960684,4.08142260728772,3.48561325408719,3.0132495785061,3.10164244226877,2.40610805522415,2.79546067465326,2.15144019974524,2.2854313539027,1.92342989265161,3.00731237113392,630881.0,592488.0,1.48971266863806,1.40893084913438,0.81616930726117,0.829172199525824,0.420244184014898,0.3993444337935,0.374921516037714,0.276090768140871,13981657.0,34.37
Sudan,2018.0,41999059.0,86181657628.75714,-2.6809305497998963,2051.990234375,-5.737812283629069,74198.0,22.48343629550321,5534079.0,38.03670056196464,3.19148702209797,3.979758849134961,41.3281283278275,40.7586831796171,41.8979167185188,17357425.0,10.3380645297658,10.5303061788691,9.17153985127909,9.27359224968177,8.1245389827356,8.22705111333061,6.98345720870748,7.34767599178829,5.60782656017859,6.01630456334616,4.1948753672577,4.23682618218921,3.47027982410524,3.08329803420893,3.05065875319104,2.39749033050103,2.749590334486,2.09403734375448,2.3123622690653,1.89378919200155,3.11995323514272,680196.0,630155.0,1.56422567201675,1.43606722223539,0.868983847433214,0.869536222498687,0.43418129605903,0.418464024247849,0.37073232410209,0.277644632828174,14549314.0,34.642
Sudan,2019.0,43232093.0,84304404770.60107,-2.178251045300911,1950.04223632813,-4.968250701750179,-29450.0,23.143518736616706,5677921.0,37.59325282430028,2.89358996893094,3.738689772138744,41.2331332188798,40.6595779009604,41.8071347165045,17825947.0,10.2241809514609,10.4153960899574,9.11402560000252,9.21632726051274,8.08919495805928,8.15667669799416,7.01283237202184,7.29897783386082,5.72268863611844,6.1442821942348,4.29643508637514,4.41287855472615,3.45934793905288,3.15749400142783,3.00691795597493,2.40203442837492,2.70469294226244,2.04660462256826,2.32681514087918,1.85694718562997,3.23432640654247,731618.0,666649.0,1.6392739866552,1.45941653420581,0.922992218392041,0.905695771894036,0.453993028539777,0.441008324739923,0.367031283245064,0.27912578336868,15103564.0,34.936
Sudan,2020.0,44440486.0,81244322707.04791,-3.629800924257623,1828.16003417969,-6.250228079067412,86.0,23.79041006423983,5828858.0,37.20562304340985,2.75677878454575,3.660063440291444,41.1776527376411,40.5990517093151,41.7568169849987,18299549.0,10.0921087744271,10.2850372117776,9.06341928705355,9.1683810845513,8.04124995881324,8.08489104415923,7.01733307498599,7.23520705739748,5.82460726949388,6.23429228845481,4.41935891249413,4.60157617257549,3.45894329564468,3.24026724950008,2.97382006542425,2.4226282043619,2.66051056287146,2.00903368381728,2.32466726440415,1.81101197380834,3.3379844225826,783629.0,699787.0,1.70424904533872,1.47008252146548,0.978685107239075,0.936671797594477,0.478648053212955,0.464743956661479,0.363347619281633,0.279358768876298,15666605.0,35.253
Sudan,2021.0,45657202.0,79726256121.36984,-1.868520205592631,1746.1923828125,-4.483619625633196,-15223.0,,5989024.0,36.85379054085321,2.70104593999388,3.6608792333427376,41.0858547692635,40.5019988523577,41.6704211873046,18758652.0,9.99375615150411,10.1909955586128,9.02512456778724,9.13309736578391,8.00133698252806,8.03436807615294,7.00684130982699,7.15933209609113,5.90905782679269,6.28922495166388,4.55309750155221,4.79086330188857,3.47521991097071,3.3364491581071,2.95342461135737,2.46095514040738,2.61924902426871,1.98259947887151,2.30598841435032,1.75879439935245,3.42404253576514,834871.0,728451.0,1.75263349769448,1.46424989937417,1.0356952227062,0.961896572120831,0.506588983925018,0.487746528896543,0.359987142378242,0.279006285372176,16250768.0,35.593
South Africa,1960.0,16520441.0,65652787805.92477,,3974.0336112047353,,18909.0,,1147725.0,14.902299035636974,,,42.4521657745093,43.2681263403081,41.682699768767,7013285.0,9.97584865364148,9.72092022998281,7.74638423557955,7.99199149563923,6.82966949466508,7.085577511877,6.12987972842784,6.46637447285119,5.40468455924588,5.9156045575743,4.74431869026355,5.25483708453134,4.07431198845046,4.51152292780156,3.37302558580999,3.67874056236538,2.67425852111495,2.79056835482289,2.01305079415581,1.88399559351136,3.38081773967172,301993.0,256533.0,1.50244834125605,1.21082582967297,1.0524409547318,0.82643714411409,0.665809883899055,0.524836248890983,0.545742228450447,0.455068217597927,7701664.0,46.619
South Africa,1961.0,16989464.0,68176962953.70386,3.8447341417408873,4012.896637216092,0.977923938584297,56098.0,14.005114212465688,1174562.0,14.77458779252014,2.79949245650161,3.1720424804038605,42.3017099803234,42.9536910928399,41.6842473563355,7186834.0,10.2391954253187,9.93464206590643,7.92388922939902,8.11871158590418,6.8141986472235,7.09474445058657,6.10542193642229,6.39700256236749,5.37639411671101,5.83713469129967,4.69767036615965,5.17334415803763,4.03487764929823,4.42675816017235,3.35456261053554,3.61834345007309,2.70273344591344,2.7888874951802,2.04280262762222,1.93271168068146,3.36366987905946,310268.0,261202.0,1.5108646261471,1.21909144569683,1.04539164749154,0.81385265707888,0.659531483607009,0.514198284737436,0.538775095310903,0.446329955942315,7949880.0,46.793
South Africa,1962.0,17503133.0,72388888580.90523,6.177930850427458,4135.767498361878,3.061899476958033,68068.0,14.428552704251128,1202065.0,14.64143814509587,2.97865062603954,3.219852530226566,42.2245222548294,42.7682483528087,41.707408559253,7390614.0,10.4347696651328,10.099686660848,8.09959091181594,8.22300139001751,6.76983015810962,7.06500087503107,6.05286659137777,6.31322656839566,5.33745013712163,5.75270507217056,4.65329824747904,5.10908906478685,4.00342896383255,4.37420787394202,3.34656837267267,3.59177961255631,2.7222674667973,2.80059546700464,2.07147225977519,1.9828928638708,3.35077716227212,319115.0,267376.0,1.51600027824583,1.23898268999042,1.0402163097652,0.801004557964399,0.651621505730733,0.502892061294533,0.532370779335055,0.437526682874248,8210020.0,46.906
South Africa,1963.0,18042215.0,77726634753.27887,7.373709248772229,4308.042818095166,4.16549817661469,70976.0,14.872940177563082,1230212.0,14.501318980051629,3.03343963252032,3.27617292981123,42.1232093731285,42.5629837004387,41.7031851112783,7599960.0,10.5873429857143,10.2570427848383,8.31868457590365,8.36012809471705,6.75183907214609,7.05175450264417,5.99634951092807,6.23912621219826,5.29904653309905,5.66523023809027,4.61051380562777,5.04291270547128,3.9677213942202,4.31688732329883,3.33457285448674,3.55741059254778,2.73476941928292,2.80118472171691,2.10312986182317,2.0262880787445,3.34728579611761,329027.0,274898.0,1.52535416409615,1.26776493357003,1.03782241377599,0.790191938896837,0.643285950722652,0.491941795520369,0.526583757734598,0.428950966467109,8483449.0,47.02
South Africa,1964.0,18603097.0,83897825365.46758,7.939608644806768,4509.884852262372,4.685237419632998,74419.0,15.33529828784344,1259058.0,14.359065478884135,3.06137824326201,3.3035436054022336,42.0756715938212,42.4185611579992,41.7468304549699,7827378.0,10.6307520200355,10.3325593647652,8.55529219333925,8.51487229623932,6.76903790022157,7.057765631478,5.93748140170581,6.17628602289429,5.26033878487997,5.57762314319415,4.57139757492518,4.97633286327968,3.92989230942554,4.25800480387747,3.31878118611383,3.51806782567837,2.74074894767969,2.7928053252295,2.13617124727326,2.05837588335143,3.35326155639569,339832.0,283978.0,1.53735833178325,1.30418038855827,1.03746912545907,0.783876166152367,0.635416554573627,0.481867305442594,0.52130126458518,0.420552524889483,8768384.0,47.134
South Africa,1965.0,19187194.0,89034719819.54192,6.122798096014421,4640.319987359377,2.892205441377797,80687.0,15.816793477812858,1288499.0,14.21311302715275,3.09150051024929,3.3330645031186816,42.0970075144912,42.3450680870276,41.8581508211023,8077235.0,10.5613101981773,10.3082336528255,8.78862138835904,8.67713899171846,6.82739116038658,7.08674535394775,5.88331882830847,6.12695414912329,5.22151146449435,5.49299108122266,4.53620282619825,4.90831221086455,3.89136270259557,4.19826170773351,3.29931013878661,3.47398093604374,2.74225981222035,2.77695864787282,2.16702574637928,2.07893379584946,3.3681423140872,351700.0,294552.0,1.55270434382067,1.34447904710603,1.03841210005402,0.783401348254007,0.629062821339688,0.473107835921423,0.516438381852256,0.41235042041441,9065565.0,47.248
South Africa,1966.0,19789771.0,92986424438.81007,4.438386089468892,4698.7114928621495,1.2583508392058178,75469.0,16.313522492148152,1318670.0,14.06906835298748,3.09221107092551,3.333201519033667,42.1197041643382,42.2774643311696,41.9672086998528,8335393.0,10.4595465396248,10.259449888207,8.99462628688452,8.8314216205027,6.93099502620546,7.14330149557911,5.83695042037714,6.08906117596997,5.18172135647447,5.41324469523415,4.50416264863298,4.83824020592299,3.85410476838649,4.14041690819177,3.27665935367401,3.42790086766186,2.73980721662839,2.75593520724022,2.19179539795497,2.09212334828379,3.39090331060425,364973.0,306080.0,1.57336089927192,1.38277243361211,1.04160284075839,0.789497665210377,0.625080960380303,0.465228781955225,0.512121953576547,0.404197006576008,9372831.0,47.362
South Africa,1967.0,20410677.0,99678213920.999,7.196523065141065,4883.630950653866,3.935535477601263,80165.0,16.825360855336374,1349547.0,13.92696497781825,3.08929582395733,3.329709411185526,42.1320713663736,42.2041148786537,42.0621712842725,8599441.0,10.3524871378951,10.2080468596532,9.1571759561415,8.96632010691692,7.07972415719785,7.22979850754553,5.80179126300139,6.06081696461538,5.13949434258407,5.33986135357637,4.47383465031948,4.76547247463547,3.81876072505341,4.0841521915508,3.25148698189436,3.38103537399928,2.73410761984203,2.73082196970977,2.2097987589979,2.09819638021149,3.41995025446731,379657.0,318378.0,1.59768971604675,1.41698710693478,1.04766758940596,0.802422330539908,0.623480783251247,0.457828580585157,0.508385439715251,0.396068515253472,9690173.0,47.476
South Africa,1968.0,21050540.0,103818221927.8644,4.153372982933462,4931.855521419612,0.9874736902322496,77095.0,17.352826253616797,1381191.0,13.787159291639648,3.0868066719664,3.326640434794621,42.1252793960326,42.1164095139384,42.1339164095432,8867599.0,10.2471115815211,10.1517237370166,9.28123376305744,9.09130076141983,7.2613773664772,7.34029064892622,5.78789589252776,6.04598710440826,5.09421133860002,5.27509728419972,4.44446402346092,4.69135692501059,3.78634908603225,4.02908598912967,3.22465438542366,3.33403576889386,2.72579388418286,2.70247665964465,2.22148335507567,2.09709128388421,3.45366191428671,395576.0,331438.0,1.62337649832436,1.44652187742976,1.05649175351084,0.820991681178329,0.624004118141198,0.45180280203811,0.505143439726351,0.388321067276996,10017952.0,47.59
South Africa,1969.0,21704214.0,108714188432.45988,4.715902867222411,5008.897739050116,1.5621345210925457,71155.0,17.891676627455507,1413488.0,13.651905613583756,3.05802222356712,3.297279371243621,42.115348150471,42.0331095209055,42.1956944158846,9140805.0,10.1902124382925,10.1374628902572,9.31098640035794,9.1427293596732,7.45600070558859,7.46348005074502,5.80308391068748,6.04758837054612,5.04714940996925,5.22041541961763,4.41582569575016,4.61908558314529,3.7587836130033,3.9773856295773,3.19733349419162,3.28970454985885,2.71414329396687,2.67276226286712,2.22762000809823,2.09029671170731,3.49048568424349,412488.0,345095.0,1.64973754397925,1.46862241302082,1.06736590297206,0.844807550815042,0.626060702062513,0.44869854876625,0.502587360174726,0.381266243518248,10353778.0,47.704
South Africa,1970.0,22368306.0,114420228110.93793,5.248661431182924,5115.283567335761,2.1239369184210943,61524.0,18.439114987346365,1443042.0,13.493861032986246,3.01386109736621,3.233725040224653,42.1109863636749,41.9634538439377,42.2555553952465,9419514.0,10.1883483186294,10.1769124667928,9.24137443882766,9.10316428564916,7.64441370861813,7.58837192361117,5.85132239552826,6.067644683779,5.00350678374885,5.17724041194159,4.38764157829251,4.55103335472132,3.73647142265942,3.92885811977583,3.17116767520855,3.2499275732475,2.69924116261816,2.64297235674661,2.22777984254001,2.07915896629919,3.52863771783528,430127.0,359169.0,1.67346005809667,1.48300690915371,1.08086802754897,0.871541893642918,0.629495797708281,0.449391070916611,0.501454946037443,0.375220588476105,10694063.0,47.809
South Africa,1971.0,23031441.0,119316194615.5334,4.278934402969824,5180.57878425989,1.2764730647794238,32976.0,18.98576445276113,1453818.0,13.186653508596889,2.92152362199403,3.0469437407650357,42.0123973137417,41.8720581475034,42.1497594502427,9676061.0,10.1963972234153,10.2437828051686,9.13562960986964,9.0719984205062,7.80465243578781,7.73640942843701,5.93892226386157,6.13938431359207,4.96831228265414,5.16275556371192,4.36168598195847,4.49916024954352,3.72091371789061,3.88723527756098,3.15177775384342,3.21740670212623,2.6876910999907,2.61633731334153,2.22899845500488,2.06640987864085,3.56728222085626,448053.0,373543.0,1.6934422809012,1.49071600625886,1.09992574789096,0.895742411917274,0.636299932875532,0.453558895770249,0.503293066552414,0.369343283182,11024920.0,47.869
South Africa,1972.0,23698507.0,121290674451.49692,1.6548297088469894,5118.072393821979,-1.2065522606822157,38121.0,19.535654403218228,1464690.0,12.895149402775392,2.85517679409004,2.980441153207569,41.7963418539404,41.7399682998541,41.851221734228,9905109.0,10.2100808311806,10.3298457571987,9.02387450923498,9.0815050206773,7.92454461942246,7.90452718693841,6.06784744820155,6.27101247965997,4.94556664588282,5.18037047585262,4.33628963555439,4.46625428660414,3.70941664049795,3.85003672447649,3.13902701304438,3.18915020727261,2.68231839630691,2.5925773254255,2.23313747357074,2.05207380870295,3.6045983825057,466196.0,388040.0,1.71046743814695,1.4919381030184,1.12287959615975,0.915451261373345,0.646710179589393,0.46094214520908,0.507871273353067,0.363093483362397,11358457.0,47.929
