Country,Year,"Central government, Fiscal Balance (% of GDP)","Central government, Fiscal Balance (Current US $)","Central government, total expenditure and net lending  (% of GDP)","Central government, total expenditure and net lending  (Current US $)","Central government, total revenue and grants  (% of GDP)","Central government, total revenue and grants  (Current US $)",Current account balance (As % of GDP),"Current account balance (Net, BoP, cur. US$)",Exports of goods and services (% of GDP),Exports of goods and services (current US$),Final consumption expenditure  (% of GDP),Final consumption expenditure  (current US$),General government final consumption expenditure (% of GDP),General government final consumption expenditure (current US$),Gross capital formation (% of GDP),Gross capital formation (current US$),"Gross capital formation, Private sector  (current US$)","Gross capital formation, Private sector (% GDP)","Gross capital formation, Public sector  (current US$)","Gross capital formation, Public sector (% GDP)","Gross domestic product, (constant prices US$)","Gross domestic product, current prices (current US$)",Household final consumption expenditure  (% of GDP),Household final consumption expenditure (current US$),Imports of goods and services (% of GDP),Imports of goods and services (current US$),"Inflation, consumer prices (annual %)",Real GDP growth (annual %),Real per Capita GDP Growth Rate (annual %)
Egypt,2014,-11.9584507042,-36523.6898918713,36.3457276995,111007.698256682,24.3872769953,74484.0083648103,-0.9101190356,-2779.70000000001,14.2441314554,43504.6523102046,94.7887323944,289505.250541539,11.8497652582,36191.7410781003,13.6431924883,41669.2549813627,24410.6600278266,7.9924475173,17258.5949535361,5.6507449709,171882.572244649,305421.58675259,82.9389671362,253313.509463439,22.676056338,69257.5710805168,10.1248493978,2.2,-0.0319885123
Egypt,2015,-11.6335741265,-38501.8027505783,33.6629514033,111408.953159108,22.0293772768,72907.1504085301,-3.66896683,-12142.6,13.1837953233,43632.3249865864,94.1892565326,311723.305048489,11.7598472251,38919.7088800277,14.2889631788,47289.9244752897,25176.7452892806,7.6073199607,22113.1791860091,6.6816432181,179393.84065174,330954.204889326,82.4294093075,272803.596168461,21.6620150347,71691.3496210392,10.9913603949,4.37,2.1823875328
Egypt,2016,-12.5300837162,-38324.9457659575,30.6699260865,93808.0926300318,18.1398423703,55483.1468640743,-6.4836450051,-19831.1,10.3453142628,31642.534641741,94.5140234186,289083.84841445,11.4267188575,34950.1559938745,15.041459502,46006.3262713786,25658.9460164409,8.3890201338,20347.3802549377,6.6524393683,187191.451286097,305863.445400254,83.087304561,254133.692420576,19.9007971834,60869.2639273164,10.2694545455,4.3466434556,2.263270591
Egypt,2017,-10.9335857526,-27287.2480104173,32.6943611265,81596.2083061103,21.7607753739,54308.960295693,-6.5865622792,-16438.2630286294,16.2994723305,40679.0374160638,96.9121207573,241866.221581473,10.0920707393,25187.0560521668,15.2750200641,38122.2839684476,21261.80692194,8.5192830419,16860.4770465076,6.7557370222,195018.339557378,249572.725982641,86.820050018,216679.165529306,28.4866131519,71094.8169833435,23.3,4.1812209999,2.1900730039
Egypt,2018,-8.9592830738,-17538.6739227413,30.058150449,58521.3476161409,21.0498121089,40982.6736933996,-4.4617371473,-8568.77155188052,21.3767981506,41619.2951596973,92.6216189049,180328.525732221,8.90769149,17342.7207715597,17.9142815968,34877.990992723,20611.7511137287,10.586754086,14266.2398789943,7.3275275108,205064.23155449,194693.774374015,83.7139274148,162985.804960662,31.9126986522,62132.0375106269,20.5669093563,5.2678314617,3.3371782156
Egypt,2019,-7.2620975113,-15078.3559965528,27.2912682401,56377.7916879138,19.9921625852,41299.435691361,-4.0857370895,-8336.97818950103,22.8389346271,47180.2441519073,90.5185248751,186991.476336379,8.0239092671,16575.641747434,19.2290859115,39723.0861654982,24413.9066501359,11.818243589,15309.1795153622,7.4108423225,216326.00670108,206578.130382073,82.494615608,170415.834588945,32.5865454137,67316.6762717123,13.2683244292,5.4679657,3.5987670224
Egypt,2020,-5.8142094024,-13096.225536256,25.5982723225,57405.8723369762,19.7584386256,44309.6468007202,-3.6960662985,-8209.2574660236,22.4901730705,50435.747688538,89.8992445012,201605.189912923,7.3019505975,16375.122450838,20.0017536902,44855.2974351766,28334.4952669331,12.6348419846,16520.8021682435,7.3669117056,228925.469792917,224256.823326466,82.5972939037,185230.067462085,32.3911712619,72639.4117101718,10.4819777206,5.7982980187,3.9763622767
Kenya,1981,-5.3508080475,-504.948340825428,23.5936786709,2226.50276240858,18.2428706234,1721.55442158315,-6.8131793723,-642.950296342333,18.6694768011,1761.81265542968,56.5237735523,5334.07018513402,13.4926206242,1273.27991157778,20.1920815591,1905.49875656259,1156.32400472968,12.2532688787,749.174751832905,7.9388126804,7188.49287033297,9436.86143000164,43.0311529281,4060.79027355623,24.5724983242,2318.87261674496,7.8953155927,4.1,0.2031845124
Kenya,1982,-4.3026111433,-390.922795017082,21.5467215767,1957.67275771405,17.2441104335,1566.74996269697,-3.2484043416,-295.140616308505,17.6950385447,1607.71998571729,58.00264343,5269.95229942411,13.0395101804,1184.73215348416,15.478120276,1406.29720846342,1032.20743454063,11.3607783088,374.089773922788,4.1173419672,7551.68109245159,9085.71056038249,44.9631332496,4085.22014593996,20.3351866647,1847.59620226509,13.8171025688,5.0523556004,1.1172334436
Kenya,1983,-3.0867995439,-259.367225267003,19.4773477766,1636.57716562154,16.3905482327,1377.20994035454,-0.4291257502,-36.0571373518392,17.8096616619,1496.45043759156,56.7191232848,4765.80400405664,13.1069096367,1101.30338429178,14.8235035319,1245.53957104759,1007.88957294309,11.9951665861,237.649998104504,2.8283369458,7671.9835212159,8402.46415680728,43.612213648,3664.50061976487,18.1315230173,1523.49472260827,11.6055854552,1.5930549409,-2.1943843822
