,city,Population,Land Area (Sq. Km),Population Density (No. per Sq. Km),country,year
287,Konoin,163507,392.5,417,Kenya,2019
288,Sotik,227855,544.3,419,Kenya,2019
289,BometCentral,175215,286.1,613,Kenya,2019
290,MauForest*,0,542.3,0,Kenya,2019
291,Kakamega,1867579,3020.0,618,Kenya,2019
292,Butere,154100,210.1,734,Kenya,2019
293,KakamegaCentral,188212,155.2,1212,Kenya,2019
294,KakamegaEast,167641,417.2,402,Kenya,2019
295,KakamegaNorth,238330,420.8,566,Kenya,2019
296,KakamegaSouth,111743,146.2,764,Kenya,2019
297,Khwisero,113476,145.6,780,Kenya,2019
298,Likuyani,152055,316.1,481,Kenya,2019
299,Lugari,122728,254.3,483,Kenya,2019
300,Matete,66172,102.7,644,Kenya,2019
301,Matungu,166940,279.1,598,Kenya,2019
302,MumiasEast,116851,150.2,778,Kenya,2019
303,MumiasWest,115354,163.3,706,Kenya,2019
304,Navakholo,153977,259.3,594,Kenya,2019
305,Vihiga,590013,563.8,1047,Kenya,2019
306,Emuhaya,97141,89.0,1091,Kenya,2019
307,Vihiga,95292,90.1,1058,Kenya,2019
308,Sabatia,131628,111.4,1181,Kenya,2019
309,Luanda,106694,84.3,1265,Kenya,2019
310,Hamisi,159241,157.2,1013,Kenya,2019
311,KakamegaForest*,17,31.7,1,Kenya,2019
312,Bungoma,1670570,3023.9,552,Kenya,2019
313,Bumula,215892,345.2,625,Kenya,2019
314,BungomaCentral,177748,232.7,764,Kenya,2019
315,BungomaEast,114548,163.3,702,Kenya,2019
316,BungomaNorth,121317,191.5,633,Kenya,2019
317,BungomaSouth,287765,321.2,896,Kenya,2019
318,Cheptais,136035,222.9,610,Kenya,2019
319,Kimilili-Bungoma,162038,179.6,902,Kenya,2019
320,MtElgon,78873,126.5,624,Kenya,2019
321,BungomaWest,119875,211.0,568,Kenya,2019
322,Tongaren,100343,185.3,542,Kenya,2019
323,WebuyeWest,152515,238.9,638,Kenya,2019
324,MtElgonForest*,3621,605.8,6,Kenya,2019
325,Busia,893681,1696.3,527,Kenya,2019
326,Bunyala,85977,192.2,447,Kenya,2019
327,Busia,142408,196.0,727,Kenya,2019
328,Butula,140334,243.6,576,Kenya,2019
329,Nambale,111636,238.1,469,Kenya,2019
330,Samia,107176,262.4,408,Kenya,2019
331,TesoNorth,138034,261.0,529,Kenya,2019
332,TesoSouth,168116,302.9,555,Kenya,2019
333,Siaya,993183,2529.8,393,Kenya,2019
334,Siaya,224343,598.9,375,Kenya,2019
335,Gem,179792,405.3,444,Kenya,2019
336,Ugenya,134354,323.5,415,Kenya,2019
337,Ugunja,104241,201.0,519,Kenya,2019
338,Bondo,197883,598.8,330,Kenya,2019
339,Rarieda,152570,402.4,379,Kenya,2019
340,Kisumu,1155574,2085.4,554,Kenya,2019
341,KisumuEast,220997,141.6,1560,Kenya,2019
342,KisumuCentral,174145,36.8,4737,Kenya,2019
343,KisumuWest,172821,209.0,827,Kenya,2019
344,Seme,121667,267.7,455,Kenya,2019
345,Muhoroni,154116,657.5,234,Kenya,2019
346,Nyando,161508,446.1,362,Kenya,2019
347,Nyakach,150320,326.7,460,Kenya,2019
348,HomaBay,1131950,3152.5,359,Kenya,2019
349,HomaBay,117439,182.0,645,Kenya,2019
350,Ndhiwa,218136,713.5,306,Kenya,2019
351,RachuonyoNorth,178686,435.4,410,Kenya,2019
352,RachuonyoEast,121822,250.9,486,Kenya,2019
353,RachuonyoSouth,130814,256.1,511,Kenya,2019
354,Rangwe,117732,274.1,429,Kenya,2019
355,SubaNorth,124938,406.3,307,Kenya,2019
356,SubaSouth,122383,634.1,193,Kenya,2019
357,Migori,1116436,2613.5,427,Kenya,2019
358,Awendo,117290,255.3,459,Kenya,2019
359,KuriaEast,96872,187.6,516,Kenya,2019
360,KuriaWest,208513,395.7,527,Kenya,2019
361,Nyatike,176162,676.9,260,Kenya,2019
362,Rongo,124587,213.4,584,Kenya,2019
363,SunaEast,122674,205.1,598,Kenya,2019
364,SunaWest,128890,287.5,448,Kenya,2019
365,Uriri,141448,392.1,361,Kenya,2019
366,Kisii,1266860,1323.0,958,Kenya,2019
367,Etago,83787,108.4,773,Kenya,2019
368,Gucha,83740,82.1,1020,Kenya,2019
369,GuchaSouth,83623,94.9,881,Kenya,2019
370,Kenyenya,131740,141.7,930,Kenya,2019
371,KisiiCentral,166906,135.8,1229,Kenya,2019
372,KisiiSouth,135134,128.3,1054,Kenya,2019
373,KitutuCentral,154175,100.3,1537,Kenya,2019
374,Marani,107464,128.4,837,Kenya,2019
375,MasabaSouth,122396,161.2,759,Kenya,2019
376,Nyamache,130898,162.7,805,Kenya,2019
377,Sameta,66997,79.1,847,Kenya,2019
378,Nyamira,605576,897.3,675,Kenya,2019
379,Borabu,73167,246.9,296,Kenya,2019
380,Manga,94209,111.5,845,Kenya,2019
381,MasabaNorth,111860,141.7,789,Kenya,2019
382,NyamiraNorth,167267,215.7,775,Kenya,2019
383,NyamiraSouth,159073,181.5,876,Kenya,2019
384,NairobiCity,4397073,703.9,6247,Kenya,2019
385,Dagoretti,434208,29.1,14908,Kenya,2019
386,Embakasi,988808,86.3,11460,Kenya,2019
387,Kamukunji,268276,10.5,25455,Kenya,2019
388,Kasarani,780656,86.2,9058,Kenya,2019
389,Kibra,185777,12.1,15311,Kenya,2019
390,Lang'ata,197489,216.8,911,Kenya,2019
391,Makadara,189536,11.7,16150,Kenya,2019
392,Mathare,206564,3.0,68941,Kenya,2019
393,Njiru,626482,129.9,4821,Kenya,2019
394,Starehe,210423,20.6,10205,Kenya,2019
395,Westlands,308854,97.5,3167,Kenya,2019
