latitude,longitude,Adjusted-Population-Count_2000,Adjusted-Population-Count_2005,Adjusted-Population-Count_2010,Adjusted-Population-Count_2015,Adjusted-Population-Count_2020,Data-Code_2010,Data-Quality_Data-Context_2010,Data-Quality_Mean-Administrative-Unit-Area_2010,Data-Quality_Water-Mask_2010,Growth-Rate-End-Year_2010,Growth-Rate-Start-Year_2010,Growth_Rate-Admin-Level_2010,Input-Data-Age_2010,Input-Data-Level_2010,Input-Data-Sex_2010,Input-Data-Year_2010,Land-Area_2010,National-Identifier-Grid_2010,Water-Area_2010,Year-most-recent-Census_2010,Country_Name,City
-7.020833333333329,39.5625,154.92746,206.77744,275.9802,368.3432,491.61758,1.0,0.0,70.01378,1.0,2012.0,2002.0,2.0,2.0,3.0,3.0,2012.0,2.9473965,834.0,3.0313528,2012.0,United Republic of Tanzania,"Dar es-Salam, Coastal Zone, Tanzania"
-6.979166666666657,39.020833333333314,1041.7266,1075.4679,1110.3021,1146.2646,1183.3921,1.0,0.0,209.76694,2.0,2012.0,2002.0,2.0,2.0,3.0,3.0,2012.0,21.354528,834.0,0.0,2012.0,United Republic of Tanzania,"Dar es-Salam, Coastal Zone, Tanzania"
-6.979166666666657,39.0625,5202.0205,6990.44,9462.928,12883.662,17618.922,1.0,0.0,152.8615,2.0,2012.0,2002.0,2.0,2.0,3.0,3.0,2012.0,21.354527,834.0,0.0,2012.0,United Republic of Tanzania,"Dar es-Salam, Coastal Zone, Tanzania"
-6.979166666666657,39.10416666666666,10399.625,14419.342,19992.781,27720.494,38435.164,1.0,0.0,58.777287,2.0,2012.0,2002.0,2.0,2.0,3.0,3.0,2012.0,21.354528,834.0,0.0,2012.0,United Republic of Tanzania,"Dar es-Salam, Coastal Zone, Tanzania"
-6.979166666666657,39.145833333333314,7845.9546,10878.613,15083.473,20913.613,28997.254,1.0,0.0,62.16971,2.0,2012.0,2002.0,2.0,2.0,3.0,3.0,2012.0,21.354528,834.0,0.0,2012.0,United Republic of Tanzania,"Dar es-Salam, Coastal Zone, Tanzania"
-6.979166666666657,39.1875,7837.0034,10419.12,13893.785,18574.742,24886.918,1.0,0.0,74.50402,2.0,2012.0,2002.0,2.0,2.0,3.0,3.0,2012.0,21.354528,834.0,0.0,2012.0,United Republic of Tanzania,"Dar es-Salam, Coastal Zone, Tanzania"
-6.979166666666657,39.22916666666666,12092.946,15790.217,20692.656,27200.637,35848.254,1.0,0.0,89.59146,2.0,2012.0,2002.0,2.0,2.0,3.0,3.0,2012.0,21.354527,834.0,0.0,2012.0,United Republic of Tanzania,"Dar es-Salam, Coastal Zone, Tanzania"
-6.979166666666657,39.270833333333314,3453.117,3770.9497,4118.0366,4497.0703,4910.991,1.0,0.0,133.84805,2.0,2012.0,2002.0,2.0,2.0,3.0,3.0,2012.0,21.354528,834.0,0.0,2012.0,United Republic of Tanzania,"Dar es-Salam, Coastal Zone, Tanzania"
-6.979166666666657,39.3125,4687.5977,5127.38,5610.427,6141.6533,6726.7383,1.0,0.0,125.146774,2.0,2012.0,2002.0,2.0,2.0,3.0,3.0,2012.0,21.354528,834.0,0.0,2012.0,United Republic of Tanzania,"Dar es-Salam, Coastal Zone, Tanzania"
-6.979166666666657,39.35416666666666,4200.343,4654.197,5172.33,5768.19,6458.9834,1.0,0.0,127.61675,2.0,2012.0,2002.0,2.0,2.0,3.0,3.0,2012.0,21.354528,834.0,0.0,2012.0,United Republic of Tanzania,"Dar es-Salam, Coastal Zone, Tanzania"
