,Name,Status,PopulationCensus1991-11-26,PopulationCensus2006-03-21,PopulationProjection2022-03-21,Unnamed: 5
171,Mobbar,Local Government Area,...,116633,170900,→
172,Monguno,Local Government Area,68510,109834,160900,→
173,Ngala,Local Government Area,...,236498,346500,→
174,Nganzai,Local Government Area,30861,99074,145200,→
175,Shani,Local Government Area,66264,100989,148000,→
176,Cross River,State,1911297,2892988,4406200,→
177,Abi,Local Government Area,...,144317,219800,→
178,Akamkpa,Local Government Area,118472,149705,228000,→
179,Akpabuyo,Local Government Area,103952,272262,414700,→
180,Bakassi [→ Cameroon (2008)],Local Government Area,...,31641,48200,→
181,Bekwara,Local Government Area,...,105497,160700,→
182,Biase,Local Government Area,101121,168113,256000,→
183,Boki,Local Government Area,145010,186611,284200,→
184,Calabar Municipal,Local Government Area,...,183681,279800,→
185,Calabar South,Local Government Area,...,191515,291700,→
186,Etung,Local Government Area,...,80036,121900,→
187,Ikom,Local Government Area,...,163691,249300,→
188,Obanliku,Local Government Area,48611,109633,167000,→
189,Obubra,Local Government Area,134225,172543,262800,→
190,Obudu,Local Government Area,84799,161457,245900,→
191,Odukpani,Local Government Area,122352,192884,293800,→
192,Ogoja,Local Government Area,...,171574,261300,→
193,Yakurr,Local Government Area,...,196271,298900,→
194,Yala,Local Government Area,156627,211557,322200,→
195,Delta,State,2590491,4112445,5636100,→
196,Aniocha North,Local Government Area,60998,104062,142600,→
197,Aniocha South,Local Government Area,107034,142045,194700,→
198,Bomadi,Local Government Area,...,86016,117900,→
199,Burutu,Local Government Area,167648,207977,285000,→
200,Ethiope East,Local Government Area,113929,200942,275400,→
201,Ethiope West,Local Government Area,105861,202712,277800,→
202,Ika North East,Local Government Area,126560,182819,250600,→
203,Ika South,Local Government Area,109204,167060,229000,→
204,Isoko North,Local Government Area,111919,143559,196700,→
205,Isoko South,Local Government Area,150836,235147,322300,→
206,Ndokwa East,Local Government Area,75578,103224,141500,→
207,Ndokwa West,Local Government Area,...,150024,205600,→
208,Okpe,Local Government Area,...,128398,176000,→
209,Oshimili North,Local Government Area,...,118540,162500,→
210,Oshimili South,Local Government Area,...,150032,205600,→
211,Patani,Local Government Area,...,67391,92400,→
212,Sapele,Local Government Area,142652,174273,238800,→
213,Udu,Local Government Area,...,142480,195300,→
214,Ughelli North,Local Government Area,166029,320687,439500,→
215,Ughelli South,Local Government Area,139748,212638,291400,→
216,Ukwuani,Local Government Area,...,119034,163100,→
217,Uvwie,Local Government Area,...,188728,258700,→
218,Warri North,Local Government Area,90893,136149,186600,→
219,Warri South,Local Government Area,235750,311970,427600,→
220,Warri South West,Local Government Area,...,116538,159700,→
221,Ebonyi,State,1029312,2176947,3242500,→
222,Abakaliki,Local Government Area,...,149683,223000,→
223,Afikpo North,Local Government Area,107633,156649,233300,→
224,Afikpo South,Local Government Area,69725,157542,234700,→
225,Ebonyi,Local Government Area,...,127226,189500,→
226,Ezza North,Local Government Area,...,146149,217700,→
227,Ezza South,Local Government Area,...,133625,199000,→
228,Ikwo,Local Government Area,154396,214969,320200,→
229,Ishielu,Local Government Area,128720,152581,227300,→
230,Ivo,Local Government Area,...,121363,180800,→
231,Izzi,Local Government Area,161349,236679,352500,→
232,Ohaozara,Local Government Area,...,148317,220900,→
233,Ohaukwu,Local Government Area,169622,195555,291300,→
234,Onicha,Local Government Area,111965,236609,352400,→
235,Edo,State,2172005,3233366,4777000,→
236,Akoko-Edo,Local Government Area,123686,261567,386400,→
237,Egor,Local Government Area,...,340287,502700,→
238,Esan Central,Local Government Area,...,105242,155500,→
239,Esan North East,Local Government Area,88687,121989,180200,→
240,Esan South East,Local Government Area,83643,166309,245700,→
241,Esan West,Local Government Area,89628,127718,188700,→
242,Etsako Central,Local Government Area,...,94228,139200,→
243,Etsako East,Local Government Area,...,147335,217700,→
244,Etsako West,Local Government Area,126112,198975,294000,→
245,Igueben,Local Government Area,...,70276,103800,→
246,Ikpoba-Okha,Local Government Area,...,372080,549700,→
247,Oredo,Local Government Area,...,374515,553300,→
248,Orhionmwon,Local Government Area,147537,183994,271800,→
249,Ovia North East,Local Government Area,121769,155344,229500,→
250,Ovia South West,Local Government Area,80692,138072,204000,→
251,Owan East,Local Government Area,90927,154630,228500,→
252,Owan West,Local Government Area,70374,99056,146300,→
253,Uhunmwonde,Local Government Area,98767,121749,179900,→
254,Ekiti,State,1535790,2398957,3592200,→
255,Ado Ekiti,Local Government Area,156122,313690,469700,→
256,Aiyekire (Gbonyin),Local Government Area,...,147999,221600,→
257,Efon,Local Government Area,...,87187,130600,→
