,0,1,2,3,4,5
215,York Rural,Ward,"63,537","129,581","170,019",
216,Western Area Urban,District,"772,873","1,055,964","609,174",
217,Central I,Ward,"50,271","62,499","30,807",
218,Central II,Ward,"20,135","21,413","9,943",
219,East I,Ward,"55,166","61,244","30,567",
220,East II,Ward,"79,934","89,530","42,201",
221,East III,Ward,"316,409","448,572","286,198",
222,West I,Ward,"46,319","53,981","27,244",
223,West II,Ward,"91,345","130,149","68,313",
224,West III,Ward,"113,294","188,576","113,901",
225,Sierra Leone,Republic,"4,976,871","7,092,113","7,548,702",
