,0,1,2,3,4,5,6,7,8,9
156,,Sidi Khaled,سيدي خالد,BIS,"11,788",...,"31,551","38,987",0,
157,,Sidi Moussa,سيدي موسى,DJZ,"13,247",...,"21,855","30,887",0,
158,,Sidi Okba,سيدي عقبة,BIS,"11,101",...,"22,617","29,499",0,
159,,Sig,سيق,MAS,"32,306",...,"53,924","61,373",0,
160,,Skikda,سكيكدة,SKI,"91,395","121,495","169,528","182,903",0,
161,,Sougueur,السوقر,TIA,"23,285",...,"57,819","71,036",0,
162,,Souk Ahras,سوق أهراس,SAH,"52,144","77,954","114,512","153,479",0,
163,,Sour El Ghozlane,صور الغزلان,BOI,"14,441",...,"35,475","43,985",0,
164,,Tadjenanet,تاجنانت,MIL,"9,933",...,"30,201","41,833",0,
165,,Taher,الطاهير,JIJ,"9,325",...,"51,311","60,426",0,
166,,Tamanrasset ( Tamenghasset ),تامنغست,TAM,"12,402",...,"65,397","81,752",0,
167,,Tébessa,تبسة,TEB,"61,063","107,559","154,335","194,461",0,
168,,Teghenif,تيغنيف,MAS,"16,406",...,"34,286","39,938",0,
169,,Teleghma,ثلارغمة,MIL,"9,908",...,"19,890","26,248",0,
170,,Ténès,تنس,CHL,"15,999",...,"28,190","29,220",0,
171,,Théniet El Haâd,ثنية الاحد,TIS,"10,385","16,571","25,949","27,628",0,
172,,Tiaret ( Tihert ),تيارت,TIA,"53,277","95,821","148,850","178,915",0,
173,,Tindouf,تندوف,TIN,"6,044","13,084","24,969","45,610",0,
174,,Tipaza,تيبازة,TIP,...,...,"11,391","15,180",0,
175,,Tissemsilt,تيسمسيلت,TIS,"17,207","26,250","52,451","66,084",0,
176,,Tizi Ouzou,تيزىوزو,TIZ,"38,979","58,810","76,206","104,312",0,
177,,Tlemcen ( Tilimsen ),تلمسان,TLE,"109,408","107,632","156,258","173,531",0,
178,,Tolga,طولقة,BIS,"14,921",...,"39,847","50,575",0,
179,,Touggourt,توغرة,OUA,"42,519","70,645","114,183","143,270",0,
180,,Zighout Youcef,زيغود يوسف,CON,"9,877",...,"25,067","28,764",0,
