,0,1,2,3,4,5,6
133,Touiref [ ← Nebeur ],Delegation,الطويرف,"7,099","6,184","6,044",
134,Mahdia,Governorate,المهدية,"377,853","410,812","446,494",
135,Bou Merdes,Delegation,بومرداس,"29,559","33,890","38,090",
136,Chebba,Delegation,الشابة,"27,433","29,282","31,138",
137,Chorbane,Delegation,شربان,"28,577","25,935","24,755",
138,El Bradâa [ ← Ksour Essef ],Delegation,البرادعة,"13,693","15,639","17,271",
139,El Jem,Delegation,الجم,"41,064","48,611","56,029",
140,Essouassi,Delegation,السواسي,"46,276","50,424","55,001",
141,Hebira,Delegation,هبيرة,"11,057","10,654","10,465",
142,Ksour Essef,Delegation,قصولر الساف,"31,007","33,960","37,453",
143,Mahdia,Delegation,المهدية,"62,785","69,234","76,041",
144,Melloulèche,Delegation,ملولش,"19,464","22,085","24,635",
145,Ouled Chamekh,Delegation,أولاد شامخ,"22,732","23,020","23,907",
146,Rejiche [ ← Mahdia ],Delegation,رجيش,"8,934","10,311","11,332",
147,Sidi Alouane,Delegation,سيدي علوان,"35,272","37,767","40,376",
148,Manouba,Governorate,منوبة,"335,912","379,518","424,139",
149,Borj El Amri,Delegation,برج العامري,"16,184","17,408","18,964",
150,Djedeida,Delegation,الجديدة,"40,327","44,748","50,225",
151,Douar Hicher,Delegation,دوار هيشر,"75,959","84,090","92,731",
152,El Batan,Delegation,البطان,"17,321","18,977","20,812",
153,Manouba,Delegation,منوبة,"51,398","58,792","66,116",
154,Mornaguia,Delegation,المرناقية,"35,129","42,687","49,506",
155,Oued Ellil,Delegation,وادي الليل,"58,544","69,317","78,767",
156,Tebourba,Delegation,طبربة,"41,050","43,499","47,018",
157,Médenine,Governorate,مدنين,"432,503","479,520","520,069",
158,Ben Gardane,Delegation,بنقردان,"70,907","79,912","87,032",
159,Beni Khedache,Delegation,بني خداش,"28,586","25,885","25,276",
160,Djerba Ajim,Delegation,جربة أجيم,"24,166","24,294","25,085",
161,Djerba Houmt Souk,Delegation,جربة حومة السوق,"64,919","75,904","84,165",
162,Djerba Midoun,Delegation,جربة ميدون,"50,459","63,528","72,915",
163,Médenine Nord,Delegation,مدنين الشمالية,"48,102","54,769","60,331",
164,Médenine Sud,Delegation,مدنين الجنوبية,"48,087","54,640","60,127",
165,Sidi Makhlouf [ Sidi Makhloulf ],Delegation,سيدي مخلوف,"23,728","25,206","26,709",
166,Zarzis,Delegation,جرجيس,"73,549","75,382","78,428",
167,Monastir,Governorate,المنستير,"455,590","548,828","607,845",
168,Bekalta,Delegation,البقالطة,"13,695","17,850","41,508",
169,Bembla,Delegation,بنبلة,"27,382","32,555","35,874",
170,Beni Hassen,Delegation,بني حسان,"12,650","13,869","14,636",
171,Jemmal,Delegation,جمال,"55,272","65,420","71,554",
172,Ksar Hellal,Delegation,قصر هلال,"39,991","49,376","55,119",
173,Ksibet El Médiouni,Delegation,قصيبة المديوني,"28,722","34,576","38,091",
174,Moknine,Delegation,المكنين,"75,885","89,277","97,646",
175,Monastir,Delegation,المنستير,"81,294","104,535","119,379",
176,Ouerdanine,Delegation,الوردانين,"18,852","21,814","23,579",
177,Sahline,Delegation,الساحلين,"21,799","27,449","30,949",
178,Sayada - Lamta - Bouhjar,Delegation,صيادة - لمطة - بوحجر,"22,947","24,889","26,186",
179,Téboulba,Delegation,طبلبة,"31,154","37,485","20,397",
180,Zéramdine,Delegation,زرمدين,"25,947","29,733","32,929",
181,Nabeul,Governorate,نابل,"693,890","787,920","868,821",
182,Béni Khalled,Delegation,بني خلاد,"33,897","37,964","41,187",
183,Béni Khiar,Delegation,بني خيار,"35,565","43,132","48,632",
184,Bou Argoub,Delegation,بوعرقوب,"27,846","30,942","33,467",
