,Name,Status,Native,PopulationCensus2004-04-28,PopulationCensus2014-04-23,PopulationEstimate2022-01-01,Unnamed: 6
133,Majel Bel Abbès,Municipality,ماجل بالعباس,21909,23315,24485,→
134,Rakhmat,Municipality,الرخمات,12770,14958,15930,→
135,Sbeïtla,Municipality,سبيطلة,32212,36388,38753,→
136,Sbiba,Municipality,سبيبة,28400,27843,27617,→
137,Thala,Municipality,تالة,34508,37128,39547,→
138,Thélepte,Municipality,تلابت,16336,17101,18533,→
139,Kébili,Governorate,قبلي,143218,156961,170803,→
140,Bechli - Blidet - Jerssin,Municipality,بشلي - جرسين - البليدات,10717,11803,12779,→
141,Bechri - Fatnassa,Municipality,بشري - فطناسة,7995,8763,9510,→
142,Douz,Municipality,دوز,35684,39270,42768,→
143,El Golâa,Municipality,القلعة,7037,7912,8682,→
144,Faouar,Municipality,الفوار,13407,15376,17058,→
145,Jemna,Municipality,جمنة,6128,7209,7805,→
146,Kébili,Municipality,قبلي,41928,44548,46821,→
147,Rjim Maatoug,Municipality,رجيم معتوق,2889,4237,5314,→
148,Souk Lahad [Souk El Ahed],Municipality,سوق الأحد,17433,17843,20066,→
149,Kef,Governorate,الكاف,258790,243156,247382,→
150,Bahra,Municipality,بهرة,7023,6168,6151,→
151,Dahmani,Municipality,الدهماني,30749,27907,27504,→
152,El Ksour,Municipality,القصور,17100,15215,14821,→
153,El Marja,Municipality,المرجى,6579,5472,5372,→
154,Jérissa,Municipality,الجريصة,11298,9807,9352,→
155,Kalâat Khasba,Municipality,القلعة الخصبة,7353,6652,6517,→
156,Kalaat Senan,Municipality,قلعة سنان,16454,15621,15980,→
157,Kef,Municipality,الكاف,57423,60876,67388,→
158,Menzel Salem,Municipality,منزل سالم,2211,1824,1788,→
159,Nebeur,Municipality,نبر,14206,13545,13507,→
160,Sakiet Sidi Youssef,Municipality,ساقية سيدي يوسف,20527,17500,16638,→
161,Sers,Municipality,السرس,19336,17787,17463,→
162,Tajerouine,Municipality,تاجروين,28448,25768,25264,→
163,Touiref,Municipality,الطويرف,7099,6184,6044,→
164,Zaafrane - Dir Kef,Municipality,الزعفران - دير الكاف,12984,12830,13592,→
