Name,Status,Population Census 1996-10-09,Population Census 2001-10-09,Population Census 2011-10-09,Population Estimate 2016-03-06,Unnamed: 6
Mpumalanga (Eastern Transvaal),Province,3123869,3365554,4039939,4335964,→
Albert Luthuli,Local Municipality,182719,187751,186010,187630,→
Bushbuckridge,Local Municipality,545811,500128,541248,548760,→
Dipaleseng,Local Municipality,39042,38618,42390,45232,→
Dr JS Moroka,Local Municipality,259302,243313,249705,246016,→
Emakhazeni (Highlands),Local Municipality,37004,43007,47216,48149,→
Emalahleni,Local Municipality,236040,276413,395466,455228,→
Govan Mbeki (Highveld East),Local Municipality,209626,221747,294538,340091,→
Lekwa,Local Municipality,90080,103265,115662,123419,→
Mbombela,Local Municipality,426090,476903,588794,622158,→
Mkhondo,Local Municipality,100388,143077,171982,189036,→
Msukaligwa,Local Municipality,105368,124812,149377,164608,→
Nkomazi,Local Municipality,277864,334668,393030,410907,→
Pixley ka Seme,Local Municipality,70178,80737,83235,85395,→
Steve Tshwete (Middelburg),Local Municipality,135335,142772,229831,278749,→
Thaba Chweu,Local Municipality,65909,81681,98387,101895,→
Thembisile,Local Municipality,241360,256583,310458,333331,→
Umjindi,Local Municipality,48547,53744,67156,71211,→
Victor Khanye (Delmas),Local Municipality,53208,56335,75452,84151,→
Northern Cape,Province,1011864,991919,1145861,1193780,→
!Kheis,Local Municipality,15046,16538,16637,16566,→
Dikgatlong,Local Municipality,39527,38262,46841,48164,→
Emthanjeni,Local Municipality,39363,35785,42356,45404,→
Gamagara,Local Municipality,22219,23202,41617,53656,→
Ga-Segonyana,Local Municipality,61967,70392,93652,104408,→
Hantam,Local Municipality,19942,20351,21578,21342,→
Joe Morolong (Moshaweng),Local Municipality,112435,97945,89530,84201,→
Kai !Garib,Local Municipality,57905,58671,65869,68929,→
Kamiesberg,Local Municipality,11064,10754,10187,9605,→
Kareeberg,Local Municipality,11474,9488,11673,12772,→
Karoo Hoogland,Local Municipality,12387,10512,12588,13069,→
Kgatelopele,Local Municipality,16113,14743,18687,20691,→
Khâi-Ma,Local Municipality,9550,11469,12465,12473,→
//Khara Hais,Local Municipality,80823,77919,93494,100282,→
Magareng,Local Municipality,22457,21733,24204,24059,→
Mier,Local Municipality,7027,7207,7003,6879,→
Nama Khoi,Local Municipality,43841,44900,47041,46512,→
Phokwane,Local Municipality,57591,61321,63000,60168,→
Renosterberg,Local Municipality,9432,9070,10978,11818,→
Richtersveld,Local Municipality,12819,10125,11982,12487,→
Siyancuma,Local Municipality,38408,39275,37076,35941,→
Siyathemba,Local Municipality,20156,18445,21591,23075,→
Sol Plaatje,Local Municipality,205103,202246,248041,255351,→
Thembelihle,Local Municipality,13576,14467,15701,16230,→
Tsantsabane,Local Municipality,26567,27082,35093,39345,→
Ubuntu,Local Municipality,19705,16375,18601,19471,→
Umsobomvu,Local Municipality,25367,23641,28376,30883,→
North West,Province,2727223,2984098,3509953,3748436,→
City of Matlosana (City Council of Klerksdorp),Local Municipality,334346,359202,398676,417282,→
Ditsobotla,Local Municipality,130369,147599,168902,181865,→
Greater Taung,Local Municipality,184364,182164,177642,167827,→
Kagisano/Molopo,Local Municipality,97770,100469,105789,102703,→
Kgetlengrivier,Local Municipality,32778,36477,51049,59562,→
Lekwa-Teemane,Local Municipality,36869,42967,53248,56025,→
Madibeng,Local Municipality,319974,347578,477381,537516,→
Mafikeng (Mahikeng),Local Municipality,242146,259478,291527,314394,→
Mamusa,Local Municipality,42736,48366,60355,64000,→
Maquassi Hills,Local Municipality,61204,69037,77794,82012,→
Moretele,Local Municipality,173402,181033,186947,189900,→
Moses Kotane,Local Municipality,229622,237175,242554,243649,→
Naledi,Local Municipality,54116,56263,66781,68803,→
Ramotshere Moiloa (Zeerust),Local Municipality,129287,137443,150713,157690,→
