Name,Status,Population Census 2014-05-16,Unnamed: 3
Caluango,Commune,5636,→
Camaxilo,Commune,13102,→
Cambulo,Commune,102939,→
Camissombo,Commune,15302,→
Canzar,Commune,13707,→
Capaia,Commune,7958,→
Capenda-Camulemba,Commune,41404,→
Cassange-Calucala,Commune,21725,→
Caungula,Commune,15062,→
Chitato,Commune,5905,→
Cuango,Commune,161180,→
Cuilo,Commune,15368,→
Iongo,Commune,15711,→
Lóvua,Commune,13033,→
Luachimo,Commune,189231,→
Luangue,Commune,5029,→
Lubalo,Commune,12918,→
Lucapa,Commune,127216,→
Luia,Commune,2813,→
Luremo,Commune,22587,→
Muvulege,Commune,2684,→
Xa-Cassau,Commune,3828,→
Xá-Muteba,Commune,30678,→
Xinge,Commune,16881,→
Lunda Sul,Province,537587,→
Alto-Chicapa,Commune,3434,→
Cacolo,Commune,22848,→
Cassai-Sul,Commune,6764,→
Cazaje,Commune,5637,→
Chiluanje,Commune,9320,→
Cucumbi,Commune,3320,→
Dala,Commune,19693,→
Luma Cassai,Commune,4661,→
Mona Quimbundo,Commune,18925,→
Muconda,Commune,9321,→
Murieje,Commune,7859,→
Saurimo,Commune,421893,→
Sombo,Commune,1619,→
Xassengue,Commune,2294,→
Malanje,Province,986363,→
Bangâlas,Commune,3137,→
Bange-Angola,Commune,2809,→
Cacuso,Commune,46108,→
Calandula,Commune,23871,→
Cambaxe,Commune,2469,→
Cambundi-Catembo,Commune,23774,→
Cangandala,Commune,32315,→
Caribo,Commune,2950,→
Catala,Commune,5571,→
Caxinga,Commune,9235,→
Cuale,Commune,15241,→
Cunda-Dia-Baze,Commune,5186,→
Cunga-Palanca,Commune,3331,→
Dala-Samba,Commune,6227,→
Dombo,Commune,7291,→
Dumba Kabango,Commune,15629,→
Kahombo,Commune,8874,→
Kambo Suinginge,Commune,4880,→
Kapunda,Commune,6585,→
Kateco-Kangola,Commune,11120,→
Kihuhu,Commune,7456,→
Kimbango,Commune,12948,→
Kinge,Commune,8222,→
Kinguengue,Commune,11961,→
Kitapa Sede (Quitapa),Commune,2845,→
Kota,Commune,21962,→
Kulamagia,Commune,2510,→
Lemba,Commune,2172,→
Lombe,Commune,15504,→
Luquembo,Commune,17340,→
Malanje,Commune,495882,→
Marimba,Commune,8130,→
Massango,Commune,13500,→
Mbembo,Commune,7344,→
Mikanda,Commune,4948,→
Milando,Commune,5262,→
Moma,Commune,2187,→
Mucari (Caculama),Commune,12394,→
Mufuma,Commune,5755,→
Muquixi,Commune,2911,→
Ngola-Luige,Commune,8497,→
Pungo-Andongo,Commune,3485,→
Quela,Commune,9431,→
Quirima,Commune,13620,→
Quiuaba-N'zogi,Commune,10125,→
Quizenga,Commune,3535,→
Rimba,Commune,7387,→
Sautar,Commune,7513,→
Soqueco,Commune,2852,→
Tala-Mungongo,Commune,4065,→
Tembo-Aluma,Commune,11823,→
Xandele,Commune,6193,→
Moxico,Province,758568,→
Caianda,Commune,5492,→
Calunda,Commune,9440,→
Camanongue,Commune,34167,→
Cameia,Commune,29476,→
Cangombe,Commune,1482,→
Cangumbe (Kachipoque),Commune,12110,→
Caquengue,Commune,11537,→
Cassamba,Commune,1642,→
Cavungo,Commune,11197,→
Cazombo (Alto Zambeze),Commune,64536,→
Chiume,Commune,9273,→
Lago-Dilolo,Commune,10824,→
Léua,Commune,18552,→
Liangongo (Sandando),Commune,13905,→
Lóvua,Commune,5677,→
Luacano,Commune,9931,→
Luau,Commune,89453,→
Luchazes,Commune,5958,→
Lucusse,Commune,19061,→
Luena,Commune,320132,→
Lumbala-Nguimbo,Commune,30297,→
Lutembo,Commune,7919,→
Lutuai (Muangai),Commune,6110,→
Luvuei,Commune,6319,→
Macondo,Commune,3021,→
Muié,Commune,778,→
Mussuma,Commune,8372,→
Ninda,Commune,6937,→
Sessa,Commune,380,→
Tempué,Commune,4591,→
Namibe,Province,495326,→
Bentiaba,Commune,8952,→
Bibala,Commune,25416,→
Cainde,Commune,17348,→
Caitou,Commune,10486,→
Camucuio,Commune,41449,→
Chingo,Commune,3493,→
Iona,Commune,3170,→
Kapangombe (Munhino),Commune,14316,→
Lola,Commune,14286,→
Lucira,Commune,10986,→
Mamúe (Chinquite),Commune,5407,→
Namibe (Moçâmedes),Commune,272598,→
Tômbwa,Commune,52324,→
Virei,Commune,15097,→
Uíge,Province,1483118,→
Alfândega,Commune,3864,→
Alto-Zaza,Commune,20020,→
Ambuíla (Sede Mantoyo),Commune,12528,→
Bembe,Commune,12423,→
Bengo,Commune,11474,→
Beu,Commune,18770,→
Bungo,Commune,37153,→
Caiongo,Commune,14952,→
Camatambo,Commune,3264,→
Cambamba,Commune,4278,→
Cuango,Commune,19194,→
Cuilo-Cambozo (Camboso),Commune,9935,→
Cuilo-Futa,Commune,9873,→
Cuilo Pombo,Commune,9972,→
Damba,Commune,23458,→
Dimuca,Commune,11556,→
Icoca,Commune,22414,→
Kangola,Commune,27293,→
Kinvuenga,Commune,9104,→
Lemboa,Commune,4960,→
Lombe (N'sosso),Commune,27189,→
Lucunga,Commune,11849,→
Mabaia,Commune,8682,→
Macocola,Commune,20433,→
Macolo,Commune,4932,→
Maquela do Zombo,Commune,68030,→
Massau,Commune,10408,→
Negage,Commune,114949,→
Nova Esperança (Buengas),Commune,34516,→
"Pete-Cusso (Sacamo, Nkuso)",Commune,7601,→
Puri,Commune,37910,→
Quibocolo,Commune,8311,→
Quifuafua (Vista Alegre),Commune,8349,→
Quimbele,Commune,74869,→
Quimbianda (Buenga Sul),Commune,12797,→
Quinzala,Commune,38542,→
Quipedro (Kimpetelu),Commune,5589,→
Quisseque,Commune,11054,→
Quitende (Aldeia Viçosa),Commune,5701,→
Quitexe,Commune,15969,→
Sacandica,Commune,22368,→
Santa Cruz (Milunga),Commune,14824,→
Sanza Pombo,Commune,42681,→
Songo,Commune,52578,→
Uando,Commune,5432,→
Uíge,Commune,519196,→
Wamba,Commune,11874,→
Zaire,Province,594428,→
Buela,Commune,3859,→
Kaluca,Commune,3261,→
Kanda (Serra da Kanda),Commune,11336,→
Kiende,Commune,4927,→
Kindege (Kindenje),Commune,10328,→
Kinximba,Commune,10360,→
Kinzau,Commune,10825,→
Kuimba,Commune,48908,→
Lufico,Commune,5159,→
Lulendo (Mpala),Commune,8060,→
Luvaka,Commune,5092,→
Luvo,Commune,11004,→
Madimba,Commune,3150,→
Mangua Grande,Commune,5103,→
Mbanza Congo,Commune,155174,→
Musserra,Commune,5332,→
Nkalambata (Kalambota),Commune,2813,→
Nóqui,Commune,10661,→
Nzetu,Commune,29451,→
Pedra de Feitiço,Commune,3322,→
Quêlo,Commune,4247,→
Quibala Norte (Loge),Commune,2714,→
Soyo,Commune,208497,→
Sumba,Commune,6007,→
Tomboco,Commune,24839,→
Angola,Republic,25789024,
