,0,1,2,3,4,5,6,7,8,9,10,11
103,,Mbarara,Mun,WES,"16,078","23,255","41,031","69,363","195,318","221,300",44035,
104,,Mityana,Mun,CEN,...,...,...,...,"95,428","105,200",26266,
105,,Moroto,Mun,NOR,"5,488","8,129","10,517","7,380","14,196","16,300",487,
106,,Mpigi,Town,CEN,"3,401","4,577","7,283","34,374","43,360","49,500",15070,
107,,Mpondwe/Lhubiriha,Town,WES,...,...,...,...,"51,351","58,600",1913,
108,,Mubende,Mun,CEN,...,...,...,...,"103,473","121,600",28183,
109,,Muhorro,Town,WES,...,...,...,"13,311","22,392","27,400",5126,
110,,Mukono,Mun,CEN,"3,565","5,783","7,406","91,568","162,710","191,300",15167,
111,,Nagongera,Town,EAS,...,...,...,"9,440","12,341","14,300",2490,
112,,Nakaloke,Town,EAS,...,...,...,"20,612","28,047","33,700",1428,
113,,Nakivale Refugee Camp,Camp,WES,...,...,...,...,"55,870","68,400",0,
114,,Namayingo ( Buinja ),Town,EAS,...,...,...,"8,332","15,740","17,300",2564,
115,,Namayumba ( Lukoma ),Town,CEN,...,...,...,"10,529","15,144","22,100",6578,
116,,Namutumba,Town,EAS,...,...,...,"8,999","18,679","22,600",2409,
117,,Nansana,Mun,CEN,...,...,...,...,"365,124","532,800",29767,
118,,Nebbi,Mun,NOR,...,"3,576","6,969","22,741","35,029","41,400",5406,
119,,Ngora,Town,EAS,...,...,...,"11,333","15,148","17,700",2990,
120,,Njeru,Mun,CEN,"4,637","3,880","36,731","51,236","159,549","178,800",33692,
121,,Nkoma,Town,WES,...,...,...,...,"11,676","14,400",9817,
122,,Ntungamo,Mun,WES,590,...,"2,611","13,320","18,719","20,900",5086,
123,,Nyahuka,Town,WES,...,...,...,"5,839","16,696","19,600",1200,
124,,Nyamunuka ( Rwashmaire ),Town,WES,...,...,...,...,...,"16,800",315,
125,,Omoro,Town,NOR,...,...,...,...,"18,952","23,200",13607,
126,,Pader,Town,NOR,...,...,...,"8,678","13,382","14,800",6771,
127,,Paidha,Town,NOR,"1,047",...,"11,807","24,079","31,632","37,500",1990,
128,,Pakwach,Town,NOR,935,...,...,"17,625","23,040","28,700",2222,
129,,Pallisa,Town,EAS,491,...,"2,927","23,641","33,138","42,300",3450,
130,,Rubaare,Town,WES,...,...,...,...,"13,332","14,900",3908,
131,,Rubanda,Town,WES,...,...,...,...,"21,569","22,800",6054,
132,,Rukungiri,Mun,WES,638,"1,650","8,578","27,998","35,039","37,200",6550,
133,,Rwamwanja Refugee Camp,Camp,WES,...,...,...,...,"40,187","49,700",0,
134,,Rwimi,Town,WES,...,...,...,"11,091","16,216","18,600",4131,
135,,Sheema ( Kibingo - Kabwohe-Itendero ),Mun,WES,...,...,...,...,"80,735","86,100",24743,
136,,Sironko,Town,EAS,...,...,"3,180","11,193","17,103","19,300",2212,
137,,Soroti,Mun,EAS,"12,398","15,048","40,970","41,711","49,685","60,900",3011,
138,,Tororo,Mun,EAS,"15,977","16,707","26,783","34,810","42,016","48,500",3087,
139,,Wakiso,Town,CEN,"21,096","21,289","1,777","20,073","60,210","87,900",3599,
140,,Wobulenzi,Town,CEN,...,...,"5,391","18,846","27,048","31,000",1956,
141,,Yumbe,Town,NOR,...,...,...,"15,401","34,806","47,600",2176,
