Name,Status,Native,Population Census 1996-11-19,Population Census 2006-11-11,Population Estimate 2017-07-01,Population Estimate 2021-07-01,Unnamed: 7
Al-Azbakiyah [Azbakeya],Kism (fully urban),قسم الأزبكية,30375,28033,19826,20816,→
Al-Basātīn,Kism (fully urban),قسم البساتين,326220,390894,497041,521642,→
Al-Jamāliyah,Kism (fully urban),قسم الجمالية,59159,49834,36485,38299,→
Al-Khalīfah,Kism (fully urban),قسم الخليفة,...,...,105578,110815,→
Al-Ma'ādī [Maadi],Kism (fully urban),قسم المعادي,70415,78122,88869,93291,→
Al-Marj [El Marg],Kism (fully urban),قسم المرج,251589,507035,801222,840978,→
Al-Ma'ṣarah,Kism (fully urban),قسم المعصره,...,252780,270907,284370,→
Al-Maṭariyah [Matariyyah],Kism (fully urban),قسم المطرية,498670,498663,604428,634405,→
Al-Muqaṭṭam,Kism (fully urban),قسم المقطم,...,...,224860,236015,→
Al-Mūskī,Kism (fully urban),قسم الموسكي,28582,22294,16715,17550,→
Al-Qāhirah al-Jadīdah 1 [New Cairo],Kism (fully urban),قسم أول القاهرة الجديدة,...,27990,136271,143025,→
Al-Qāhirah al-Jadīdah 2 [New Cairo],Kism (fully urban),قسم ثان القاهرة الجديدة,...,40005,90960,95482,→
Al-Qāhirah al-Jadīdah 3 [New Cairo],Kism (fully urban),قسم ثالث القاهره الجديده,...,54344,71112,74632,→
Al-Waylī,Kism (fully urban),قسم الوايلي,89758,77649,79548,83515,→
An-Nuzhah,Kism (fully urban),قسم النزهة,154969,161946,231987,243517,→
Ash-Sharābiyah,Kism (fully urban),قسم الشرابية,247433,215595,187806,197146,→
Ash-Shurūq,Kism (fully urban),قسم الشروق,...,22570,87565,91899,→
As-Sāḥil,Kism (fully urban),قسم الساحل,333929,305322,317442,333210,→
As-Salām 1,Kism (fully urban),قسم أول السلام,304553,441000,482271,506185,→
As-Salām 2,Kism (fully urban),قسم ثان السلام,52329,108000,154267,161909,→
As-Sayyidah Zaynab,Kism (fully urban),قسم السيدة زينب,156142,132249,136722,143525,→
At-Tibbīn,Kism (fully urban),قسم التبين,59366,68897,72276,75872,→
Aẓ-Ẓāhir,Kism (fully urban),قسم الظاهر,67031,64009,72101,75695,→
Az-Zamālik [Zamalek],Kism (fully urban),قسم الزمالك,15343,17365,14993,15742,→
Az-Zāwiyah al-Ḥamrā',Kism (fully urban),قسم الزاوية الحمراء,306165,315465,319198,335060,→
Az-Zaytūn [Zeitoun],Kism (fully urban),قسم الزيتون,159172,156910,174738,183443,→
Bāb ash-Sha'riyah,Kism (fully urban),قسم باب الشعرية,59956,54084,46823,49145,→
Būlāq,Kism (fully urban),قسم بولاق,75098,62470,48301,50709,→
Dār as-Salām,Kism (fully urban),قسم دار السلام,340708,430763,527335,553472,→
Hada'iq al-Qubbah,Kism (fully urban),قسم حدائق القبة,304478,289758,317092,332851,→
Ḥulwān [Helwan],Kism (fully urban),قسم حلوان,...,396791,522927,548919,→
Madīnat an-Naṣr 1 [Nasr City],Kism (fully urban),قسم مدينة نصر أول,291571,501597,636864,668413,→
Madīnat an-Naṣr 2 [Nasr City],Kism (fully urban),قسم ثانى مدينه نصر,68156,75917,72414,75994,→
Madīnat Badr,Kism (fully urban),قسم مدينة بدر,248,17158,31398,32940,→
Miṣr al-Jādidah [Heliopolis],Kism (fully urban),قسم مصر الجديدة,120977,113611,134549,141237,→
Miṣr al-Qadīmah [Old Cairo],Kism (fully urban),قسم مصر القديمة,228683,217390,251125,263577,→
Munsha'āt Nāṣr [Manshiyat Naser],Kism (fully urban),قسم منشأة ناصر,168425,262050,259205,272062,→
Qaṣr an-Nīl,Kism (fully urban),قسم قصر النيل,12935,10035,10596,11130,→
Rūd al-Faraj [Rod El Farag],Kism (fully urban),قسم روض الفرج,178145,144510,146102,153382,→
Shubrā,Kism (fully urban),قسم شبرا,83753,71118,76942,80777,→
Ṭurah [Tura],Kism (fully urban),قسم طره,67270,94107,231154,242022,→
Al-Qalyūbyah [Qalyubia],Governorate,القليوبية,3281135,4251672,5647716,5982567,→
Al-Khānkah,Kism (fully urban),قسم الخانكه,55013,59077,76744,81646,→
Al-Khānkah,Markaz,مركز الخانكة,...,377014,574569,606693,→
Al-Khuṣūṣ,Kism (fully urban),قسم الخصوص,...,291242,459586,488904,→
Al-Qanāṭir al-Khayriyah,Markaz,مركز القناطر الخيرية,296731,383102,507179,536164,→
Al-'Ubūr [El Ubour],Kism (fully urban),قسم العبور,...,43600,130654,138987,→
Banhā,Markaz,مركز بنها,308833,376175,482959,509971,→
Banhā 1,Kism (fully urban),قسم اول بنها,...,...,106815,113642,→
Banhā 2,Kism (fully urban),قسم ثان بنها,...,...,64493,68612,→
Kafr Shukr,Markaz,مركز كفر شكر,123013,148351,188858,199650,→
Qahā,Kism (urban and rural parts),قسم قها,...,35655,47898,50850,→
Qalyūb,Kism (fully urban),قسم قليوب,77081,107303,146987,156363,→
Qalyūb,Markaz,مركز قليوب,264375,365892,561254,592638,→
Shubrā al-Khaymah 1 [Shubra el-Kheima],Kism (fully urban),قسم أول شبرا الخيمة,416812,461689,483762,514637,→
Shubrā al-Khaymah 2 [Shubra el-Kheima],Kism (fully urban),قسم ثان شبرا الخيمة,453963,563880,682152,725652,→
Sibīn al-Qanāṭir [Shibin el-Qanater],Markaz,مركز شبين القناطر,338628,423783,540112,570868,→
Ṭūkh,Markaz,مركز طوخ,...,457208,593694,627290,→
Al-Uqṣor [Luxor],Governorate,الأقصر,775551,959003,1255703,1352818,→
Al-Qarnah,Markaz,مركز القرنه,...,130146,165016,176478,→
Al-Uqṣur [Luxor],Kism (fully urban),قسم الأقصر,...,167646,243817,268640,→
Al-Uqṣur [Luxor],Markaz,مركز الأقصر,...,116974,165928,178030,→
Armant,Markaz,مركز أرمنت,...,159809,174774,188325,→
Isnā [Esna],Markaz,مركز إسنا,279835,341908,432908,462787,→
Shurṭah Ṭībah [Tiba],Markaz,مركز شرطة طيبة,...,56196,73260,78558,→
Al-Wādī al-Jadīd [New Valley],Governorate,الوادي الجديد,141774,187263,242300,259174,→
Al-Wāḥāt al-Khārijah [Kharga],Kism (urban and rural parts),قسم الواحات الخارجة,...,74489,90650,101283,→
Balāṭ,Markaz,مركز بلاط,...,9279,12268,12816,→
Shurṭah al-Dākhlah [Dakhla],Markaz,مركز شرطة الداخلة,...,70949,89868,93578,→
Shurṭah al-Farāfirah,Markaz,مركز شرطة الفرافرة,7958,21930,35899,37031,→
Shurṭah Bārīs [Baris],Markaz,مركز شرطة باريس,...,10616,13615,14466,→
Ash-Sharqiyah [Sharqia],Governorate,الشرقية,4281068,5354041,7192355,7682770,→
Abū Ḥammād,Markaz,مركز أبو حماد,279487,347335,433336,455013,→
Abū Kabīr,Markaz,مركز أبوكبير,269952,317479,447083,477167,→
Al-Ḥusayniyah,Markaz,مركز الحسينية,...,283186,373774,393420,→
Al-Ibrāhīmiyah,Markaz,مركز الأبراهيمية,107680,127079,183209,194874,→
Al-Qanāyāt,Kism (fully urban),قسم القنايات,36010,42563,63016,70687,→
Al-Qurayn,Kism (fully urban),قسم القرين,51833,64453,84358,94632,→
Aṣ-Ṣaliḥiyah al-Jadīdah [New Salhia],Kism (fully urban),قسم الصالحية الجديدة,8140,18957,52883,59320,→
Awlād Ṣaqr,Markaz,مركز أولاد صقر,145399,175665,226973,239055,→
Az-Zaqāzīq [Zagazig],Markaz,مركز الزقازيق,527055,652756,877977,915777,→
Az-Zaqāzīq 1 [Zagazig],Kism (fully urban),قسم اول الزقازيق,122173,133145,176240,197706,→
