Region,Country Code,Country or area,City Code,City,City Definition,Latitude,Longitude,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
Africa,204,Benin,20890,Parakou,City Proper,9.33716,2.63031,5.567,6.051,6.577,7.147,7.768,8.442,9.176,9.972,10.838,11.779,12.804,13.914,15.122,16.436,17.865,19.414,21.1,22.932,24.927,27.088,29.44,31.997,34.78,37.796,41.078,44.645,48.527,52.736,57.315,61.594,64.194,66.896,69.716,72.654,75.721,78.908,82.234,85.7,89.318,93.077,97.001,101.089,105.16,109.093,113.179,117.418,121.822,126.379,131.112,136.022,141.124,146.402,152.494,159.913,167.703,175.85,184.405,193.376,202.796,212.648,222.993,233.841,245.233,257.146,269.638,282.736,296.471,310.873,325.975,341.69,357.912,374.532,391.442,408.305,425.149,442.127,459.283,476.671,494.348,512.365,530.761,549.564,568.789,588.45,608.546,629.075
Africa,854,Burkina Faso,23191,Bobo-Dioulasso,City Proper,11.17715,-4.2979,36.114,38,39.536,41.13,42.79,44.517,46.317,48.184,50.128,52.152,54.26,56.967,59.813,62.802,65.944,69.234,72.693,76.325,80.144,84.143,88.347,92.761,97.402,102.261,107.371,112.735,119.745,128.224,137.317,147.054,157.497,168.65,180.609,193.416,207.151,221.819,232.205,238.702,245.39,252.247,259.305,266.56,274.029,281.686,289.567,297.67,306.01,317.772,332.685,348.299,364.668,381.759,399.675,418.433,438.098,458.63,480.154,504.007,530.175,557.624,586.535,616.945,648.977,682.577,717.967,755.191,794.345,835.529,878.848,924.37,972.124,1022.118,1074.309,1128.646,1185.053,1243.53,1304.017,1366.501,1430.95,1497.466,1566.007,1636.594,1709.185,1783.932,1860.708,1939.502
Africa,854,Burkina Faso,23192,Ouagadougou,City Proper,12.36423,-1.53834,33.035,37.3,39.261,41.32,43.49,45.774,48.181,50.707,53.37,56.172,59.126,63.09,67.325,71.845,76.676,81.816,87.309,93.17,99.434,107.102,115.374,124.284,133.897,144.223,155.361,167.36,182.337,200.214,219.871,241.459,265.2,291.201,319.792,351.19,385.721,423.537,452.238,472.181,493.032,514.742,537.441,561.141,585.92,611.721,638.696,666.861,696.309,739.213,795.344,855.737,920.808,990.628,1065.85,1146.783,1233.987,1327.553,1428.359,1514.246,1586.762,1662.536,1742.041,1825.349,1912.763,2004.106,2099.945,2200.368,2305.593,2415.851,2531.381,2652.72,2780.331,2914.619,3055.788,3203.923,3358.934,3520.821,3689.328,3864.265,4045.36,4232.727,4426.096,4625.414,4830.489,5041.704,5258.672,5481.352
Africa,108,Burundi,20340,Bujumbura,City Proper,-3.3822,29.3644,18.825,20.565,22.467,24.541,26.808,29.285,31.995,34.948,38.177,41.705,45.564,49.768,54.367,59.39,64.886,70.873,75.187,79.555,84.183,89.066,94.24,100.027,106.179,112.69,119.61,126.956,134.763,143.027,151.811,161.134,167.212,172.952,178.897,185.047,191.417,197.988,204.794,211.834,219.126,226.648,234.439,242.57,251.006,259.71,268.729,278.062,287.732,297.71,308.048,318.746,329.831,341.269,353.12,365.383,388.036,412.026,437.535,464.623,493.43,523.935,556.326,590.719,627.239,666.016,707.191,750.911,797.334,846.627,898.968,954.424,1012.996,1074.642,1139.265,1206.767,1277.05,1350.147,1426.044,1504.812,1586.55,1671.586,1760.099,1852.331,1948.421,2048.783,2153.47,2262.634
Africa,120,Cameroon,20360,Bafoussam,City Proper,5.47366,10.41786,10.095,10.988,11.962,13.018,14.17,15.423,16.79,18.273,19.889,21.649,23.566,25.648,27.917,30.386,33.078,36,39.185,42.651,46.429,50.53,55,56.19,57.408,58.649,59.918,61.215,63.007,66.503,70.199,74.1,78.223,82.564,87.151,91.994,97.113,102.502,108.198,113.823,118.53,123.417,128.513,133.819,139.352,145.097,151.088,157.327,163.832,170.587,177.63,184.964,192.612,200.554,208.834,217.457,226.448,235.785,245.521,255.659,266.216,277.208,288.655,300.574,312.985,325.909,339.366,353.379,367.971,383.165,398.987,411.286,423.982,437.15,450.869,465.196,480.152,495.735,511.91,528.63,545.847,563.518,581.602,600.066,618.856,638.053,657.626,677.566
Africa,120,Cameroon,20361,Bamenda,City Proper,5.95266,10.15824,9.427,9.878,10.351,10.846,11.364,11.908,12.478,13.074,13.7,14.355,15.043,15.761,16.515,17.305,18.134,19,19.909,20.861,21.86,22.904,24,27.072,30.542,34.445,38.853,43.826,48.941,52.772,56.908,61.369,66.186,71.366,76.96,82.992,89.506,96.512,104.076,111.47,116.968,122.721,128.765,135.107,141.771,148.744,156.07,163.757,171.833,180.285,189.164,198.481,208.27,218.514,229.276,240.569,252.434,264.849,277.894,291.582,305.943,321.012,336.824,353.414,370.821,389.085,408.25,428.358,449.456,471.594,494.822,513.82,533.257,553.084,573.285,593.859,614.809,636.145,657.875,680.007,702.552,725.527,748.935,772.773,796.999,821.733,846.944,872.627
Africa,120,Cameroon,20362,Douala,Urban Agglomeration,4.04827,9.70428,94.769,98.804,103.016,107.396,111.968,116.734,122.518,129.424,136.729,144.447,152.612,161.214,170.313,179.927,190.097,204.834,220.736,237.873,256.366,276.241,297.687,320.797,345.738,372.541,401.463,432.63,463.848,488.495,514.489,541.866,570.741,601.068,633.052,666.739,702.267,739.584,778.939,819.198,857.837,898.184,940.489,984.786,1031.235,1079.737,1130.593,1183.844,1239.682,1297.989,1359.124,1423.139,1490.263,1560.356,1633.849,1710.803,1791.496,1875.756,1964.104,2056.613,2153.48,2254.908,2361.114,2472.323,2588.769,2710.7,2838.374,2972.061,3112.045,3258.622,3412.103,3536.119,3663.227,3793.363,3926.645,4063.2,4203.108,4346.418,4493.087,4643.055,4796.26,4952.682,5112.242,5274.847,5440.161,5608.97,5781.048,5956.349
Africa,120,Cameroon,20363,Garoua,City Proper,9.3,13.4,7.289,7.796,8.339,8.919,9.54,10.204,10.915,11.674,12.487,13.356,14.287,15.28,16.344,17.482,18.7,20,21.392,22.881,24.476,26.178,28,32.301,37.269,42.986,49.588,57.205,64.961,69.849,75.112,80.772,86.867,93.403,100.441,108.009,116.16,124.9,134.311,142.81,146.775,150.839,155.022,159.321,163.745,168.279,172.945,177.741,182.677,187.735,192.941,198.291,203.797,209.441,215.248,221.217,227.36,233.656,240.135,246.794,253.637,260.67,267.898,275.327,282.961,290.807,298.871,307.158,315.675,324.429,333.425,339.404,345.853,352.98,360.954,369.882,379.793,390.652,402.371,414.837,427.928,441.54,455.58,469.979,484.667,499.689,515.013,530.627
Africa,120,Cameroon,204222,Loum,City Proper,4.7182,9.7351,4.802,5.132,5.487,5.864,6.268,6.7,7.163,7.656,8.183,8.747,9.351,9.994,10.683,11.42,12.208,13.048,13.947,14.908,15.937,17.034,18.208,19.462,20.806,22.237,23.77,25.408,27.161,29.031,31.031,33.17,35.459,37.899,40.511,43.303,46.291,49.477,52.887,56.532,60.433,64.592,69.043,73.801,78.895,84.324,90.135,96.347,102.996,110.084,117.671,125.78,134.461,143.714,153.618,164.205,175.537,187.618,200.547,214.367,229.139,244.93,261.808,279.849,299.134,319.748,341.782,365.335,390.511,417.421,446.186,471.646,497.578,523.577,549.317,574.574,599.242,623.336,646.957,670.268,693.45,716.683,740.104,763.809,787.821,812.298,837.23,862.621
Africa,120,Cameroon,204228,Mbouda,City Proper,5.62578,10.25517,4.552,4.797,5.056,5.328,5.615,5.917,6.236,6.572,6.926,7.299,7.693,8.107,8.543,9.004,9.489,10,10.539,11.107,11.706,12.335,13,13.337,13.683,14.037,14.4,14.773,15.342,16.603,17.97,19.45,21.053,22.784,24.66,26.691,28.891,31.267,33.841,36.627,39.647,42.907,46.44,50.263,54.408,58.881,63.729,68.976,74.663,80.802,87.455,94.655,102.46,110.884,120.013,129.895,140.605,152.165,164.693,178.252,192.928,208.812,226.004,244.612,264.751,286.548,310.14,335.675,363.311,393.223,425.598,455.304,485.66,516.016,545.812,574.641,602.287,628.742,654.152,678.774,702.905,726.834,750.79,774.938,799.346,824.199,849.504,875.27
